pipe,gen,acc_dp_reps,seed,dp,dpr,eo,eqOdds,accu,precision,recall,f1,roc_auc
"count_enc,median_imp,k_best_sel,under_samp,quant_scale",0,"(0, 20)",12677,0.186265004652932,0.6571517495928987,0.1860614823976258,0.31754144060887524,0.32447916666666665,0.3172822345705237,0.3440625,0.3309971044926417,0.32447916666666665
"ordinal_enc,median_imp,over_samp,max_abs_scale,k_best_sel",0,"(0, 20)",12677,0.14379560658049306,0.7373597602129179,0.10731677908054918,0.2159325821434533,0.2856584821428572,0.28539496157861355,0.2861383928571428,0.2857912044609454,0.2856584821428572
"woe_enc,median_imp,quant_scale,k_best_sel,no_samp",0,"(0, 20)",12677,0.1146330060776064,0.861476752725835,0.07593296044825976,0.20485365788809812,0.2599999999999999,0.2222222222222219,0.12000000000000008,0.1742627345844506,0.3533333333333329
"target_enc,mean_imp,no_sel,under_samp,max_abs_scale",0,"(0, 20)",12677,0.13050951192320148,0.7561623388546866,0.07890245940755625,0.18801402816686266,0.2815104166666667,0.2766977055854607,0.2922916666666668,0.2846381786918552,0.28151041666666665
"ordinal_enc,mean_imp,no_sel,over_samp,min_max_scale",0,"(0, 20)",12677,0.133881003463542,0.7542204928282191,0.10207261538001376,0.195867512529286,0.2867633928571429,0.2863509421722081,0.2875446428571429,0.2869774472183845,0.2867633928571428
"target_enc,median_imp,under_samp,no_scale,k_best_sel",0,"(0, 20)",12677,0.14932196134980266,0.7423168673782481,0.11129209450471886,0.24478793964617615,0.3256770833333334,0.3327092973340885,0.2977083333333334,0.3164163342067713,0.3256770833333334
"ordinal_enc,median_imp,k_best_sel,norm_scale,no_samp",0,"(0, 20)",12677,1.0,-1.0,0.0,1.0,0.3000000000000004,0.3000000000000004,0.0,0.17647058823529407,0.5
"woe_enc,most_freq_imp,no_sel,over_samp,no_scale",0,"(0, 20)",12677,0.1346797519741577,0.7437677753399431,0.09124374370631816,0.1888950732527492,0.2611830357142858,0.2512001415285746,0.2811160714285715,0.2664948991008413,0.2611830357142858
"onehot_enc,most_freq_imp,over_samp,quant_scale,k_best_sel",0,"(0, 20)",12677,0.15049252517176465,0.7149346594160616,0.14360343821972305,0.23121129036761925,0.2895982142857143,0.2794734377203709,0.3122767857142857,0.2963166493166155,0.2895982142857144
"woe_enc,most_freq_imp,k_best_sel,under_samp,min_max_scale",0,"(0, 20)",12677,0.12174681323569925,0.7685865425007027,0.08272212753877789,0.16964543077140193,0.2760677083333334,0.2663670790707444,0.2968229166666668,0.2819842280036086,0.2760677083333334
"woe_enc,most_freq_imp,k_best_sel,under_samp,no_scale",1,"(0, 20)",12677,0.15241967425033626,0.7159625545764396,0.10325605532436223,0.2253530580622458,0.2800260416666668,0.2729312518423195,0.2956770833333333,0.28457061615534424,0.2800260416666667
"target_enc,median_imp,under_samp,min_max_scale,k_best_sel",1,"(0, 20)",12677,0.13507726240425846,0.7448851911164024,0.09078065118738414,0.192192672658156,0.2757812500000001,0.2673619528154396,0.2939062500000001,0.2809384296610477,0.2757812500000001
"target_enc,mean_imp,under_samp,no_scale,k_best_sel",1,"(0, 20)",12677,0.19429366907758636,0.6701662522278757,0.15422535380588212,0.3250563855557259,0.3238541666666666,0.32962405983427273,0.30385416666666665,0.31733840843127964,0.3238541666666665
"target_enc,median_imp,no_sel,under_samp,max_abs_scale",1,"(0, 20)",12677,0.14590187391208745,0.7297412665878608,0.09944298298541987,0.21356875151416765,0.2811197916666666,0.2766920691444272,0.2910416666666666,0.2839828204603244,0.2811197916666667
"target_enc,median_imp,under_samp,no_scale,k_best_sel",1,"(0, 20)",12677,0.14932196134980266,0.7423168673782481,0.11129209450471886,0.24478793964617615,0.3256770833333334,0.3327092973340885,0.2977083333333334,0.3164163342067713,0.3256770833333334
"woe_enc,most_freq_imp,no_sel,over_samp,no_scale",1,"(0, 20)",12677,0.1346797519741577,0.7437677753399431,0.09124374370631816,0.1888950732527492,0.2611830357142858,0.2512001415285746,0.2811160714285715,0.2664948991008413,0.2611830357142858
"target_enc,mean_imp,no_sel,under_samp,max_abs_scale",1,"(0, 20)",12677,0.13050951192320148,0.7561623388546866,0.07890245940755625,0.18801402816686266,0.2815104166666667,0.2766977055854607,0.2922916666666668,0.2846381786918552,0.28151041666666665
"onehot_enc,most_freq_imp,over_samp,quant_scale,k_best_sel",1,"(0, 20)",12677,0.15049252517176465,0.7149346594160616,0.14360343821972305,0.23121129036761925,0.2895982142857143,0.2794734377203709,0.3122767857142857,0.2963166493166155,0.2895982142857144
"woe_enc,most_freq_imp,k_best_sel,under_samp,min_max_scale",1,"(0, 20)",12677,0.12174681323569925,0.7685865425007027,0.08272212753877789,0.16964543077140193,0.2760677083333334,0.2663670790707444,0.2968229166666668,0.2819842280036086,0.2760677083333334
"woe_enc,median_imp,min_max_scale,k_best_sel,no_samp",1,"(0, 20)",12677,0.1172043010752688,0.8593548387096774,0.06708940268596887,0.2117649394552661,0.2390000000000003,0.21079046424090328,0.10142857142857142,0.1596526386105543,0.3307142857142861
"woe_enc,median_imp,under_samp,min_max_scale,k_best_sel",2,"(0, 20)",12677,0.12602996264487346,0.7579520033530219,0.0878806165781286,0.1776498778298698,0.27731770833333325,0.2668090284206793,0.29994791666666665,0.283813588816463,0.2773177083333332
"target_enc,most_freq_imp,k_best_sel,under_samp,no_scale",2,"(0, 20)",12677,0.17507040353956504,0.7012096267947885,0.1519579985810336,0.2956496084085949,0.3324739583333333,0.33949457975299946,0.30697916666666664,0.3240566188452634,0.3324739583333334
"woe_enc,median_imp,min_max_scale,k_best_sel,under_samp",2,"(0, 20)",12677,0.13445131642283234,0.7432036888864715,0.0916323467550773,0.1892212379121933,0.2759114583333334,0.2657581792936193,0.2976041666666667,0.28209677441527675,0.2759114583333334
"target_enc,median_imp,no_samp,min_max_scale,k_best_sel",2,"(0, 20)",12677,0.10752688172043004,0.8709677419354824,0.0641182863238915,0.18520959714573712,0.2379999999999999,0.21124999999999985,0.09857142857142856,0.1586666666666669,0.3309523809523811
"target_enc,most_freq_imp,k_best_sel,under_samp,min_max_scale",2,"(0, 20)",12677,0.12163982850870445,0.7670630545084215,0.07737159677331013,0.1684234904761777,0.2799479166666667,0.2707552679075916,0.2999479166666666,0.2856948024290707,0.27994791666666674
"onehot_enc,most_freq_imp,over_samp,quant_scale,k_best_sel",2,"(0, 20)",12677,0.15049252517176465,0.7149346594160616,0.14360343821972305,0.23121129036761925,0.2895982142857143,0.2794734377203709,0.3122767857142857,0.2963166493166155,0.2895982142857144
"target_enc,mean_imp,no_sel,under_samp,max_abs_scale",2,"(0, 20)",12677,0.13050951192320148,0.7561623388546866,0.07890245940755625,0.18801402816686266,0.2815104166666667,0.2766977055854607,0.2922916666666668,0.2846381786918552,0.28151041666666665
"woe_enc,most_freq_imp,no_sel,over_samp,no_scale",2,"(0, 20)",12677,0.1346797519741577,0.7437677753399431,0.09124374370631816,0.1888950732527492,0.2611830357142858,0.2512001415285746,0.2811160714285715,0.2664948991008413,0.2611830357142858
"target_enc,median_imp,under_samp,min_max_scale,k_best_sel",2,"(0, 20)",12677,0.13507726240425846,0.7448851911164024,0.09078065118738414,0.192192672658156,0.2757812500000001,0.2673619528154396,0.2939062500000001,0.2809384296610477,0.2757812500000001
"woe_enc,most_freq_imp,k_best_sel,under_samp,min_max_scale",2,"(0, 20)",12677,0.12174681323569925,0.7685865425007027,0.08272212753877789,0.16964543077140193,0.2760677083333334,0.2663670790707444,0.2968229166666668,0.2819842280036086,0.2760677083333334
"woe_enc,most_freq_imp,no_sel,over_samp,no_scale",3,"(0, 20)",12677,0.1346797519741577,0.7437677753399431,0.09124374370631816,0.1888950732527492,0.2611830357142858,0.2512001415285746,0.2811160714285715,0.2664948991008413,0.2611830357142858
"target_enc,most_freq_imp,k_best_sel,under_samp,no_scale",3,"(0, 20)",12677,0.17507040353956504,0.7012096267947885,0.1519579985810336,0.2956496084085949,0.3324739583333333,0.33949457975299946,0.30697916666666664,0.3240566188452634,0.3324739583333334
"woe_enc,median_imp,under_samp,min_max_scale,k_best_sel",3,"(0, 20)",12677,0.12602996264487346,0.7579520033530219,0.0878806165781286,0.1776498778298698,0.27731770833333325,0.2668090284206793,0.29994791666666665,0.283813588816463,0.2773177083333332
"target_enc,median_imp,no_samp,min_max_scale,k_best_sel",3,"(0, 20)",12677,0.10752688172043004,0.8709677419354824,0.0641182863238915,0.18520959714573712,0.2379999999999999,0.21124999999999985,0.09857142857142856,0.1586666666666669,0.3309523809523811
