pipe,gen,opt_metric,seed,dp,dpr,eo,eqOdds,accu,precision,recall,f1,roc_auc
"loo_enc,most_freq_imp,norm_scale,k_best_sel,under_samp",0,"(1, 0, 0, 0)",4208,0.3540720782677573,-1.0,0.5769590514341953,0.8762709780397001,0.4606250000000001,0.44571851279998254,0.5947395833333333,0.5321851990668619,0.4606250000000001
"woe_enc,most_freq_imp,k_best_sel,under_samp,min_max_scale",0,"(1, 0, 0, 0)",4208,0.12174681323569925,0.7685865425007027,0.08272212753877789,0.16964543077140193,0.2760677083333334,0.2663670790707444,0.2968229166666668,0.2819842280036086,0.2760677083333334
"loo_enc,most_freq_imp,min_max_scale,k_best_sel,no_samp",0,"(1, 0, 0, 0)",4208,0.10930341280972412,0.868607395751376,0.060110270291827465,0.19561149513451945,0.24000000000000016,0.211779448621554,0.10142857142857142,0.16021361815754348,0.3323809523809519
"target_enc,median_imp,under_samp,quant_scale,k_best_sel",0,"(1, 0, 0, 0)",4208,0.1303339931170674,0.7587387342566024,0.07987385496210837,0.18905747329151906,0.2778645833333333,0.2750324805698955,0.2841666666666668,0.2796729608186809,0.2778645833333333
"loo_enc,median_imp,min_max_scale,no_sel,over_samp",0,"(1, 0, 0, 0)",4208,0.11503800163013693,0.7825440090005558,0.054808622219563535,0.14230210263490353,0.25284598214285714,0.2477024379379901,0.26285714285714284,0.2553835875615087,0.25284598214285714
"ordinal_enc,median_imp,no_samp,k_best_sel,norm_scale",0,"(1, 0, 0, 0)",4208,1.0,-1.0,0.0,1.0,0.3000000000000004,0.3000000000000004,0.0,0.17647058823529407,0.5
"count_enc,median_imp,quant_scale,no_samp,k_best_sel",0,"(1, 0, 0, 0)",4208,0.11262272089761563,0.8711282298186498,0.060040478967886085,0.24511180804228905,0.2950000000000002,0.2586412395709181,0.11142857142857128,0.19168291098115675,0.4173809523809524
"target_enc,most_freq_imp,no_sel,no_samp,min_max_scale",0,"(1, 0, 0, 0)",4208,0.10883590462833112,0.8675541901348344,0.05306134657374443,0.20167559317540606,0.2439999999999998,0.2106598984771573,0.11142857142857128,0.16397849462365596,0.3323809523809519
"loo_enc,median_imp,min_max_scale,no_samp,no_sel",0,"(1, 0, 0, 0)",4208,0.11061243571762518,0.8651544511569595,0.05306134657374443,0.20561430300777106,0.2420000000000004,0.2086513994910941,0.11142857142857128,0.16285329744279942,0.329047619047619
"onehot_enc,median_imp,no_sel,over_samp,no_scale",0,"(1, 0, 0, 0)",4208,0.1183807193095868,0.7752762051409281,0.07396540593625063,0.1564673497664452,0.26791294642857144,0.2614073492456757,0.28138392857142863,0.2715675300253427,0.2679129464285714
"loo_enc,median_imp,no_sel,no_samp,min_max_scale",1,"(1, 0, 0, 0)",4208,0.11061243571762518,0.8651544511569595,0.05306134657374443,0.20561430300777106,0.2420000000000004,0.2086513994910941,0.11142857142857128,0.16285329744279942,0.329047619047619
"woe_enc,most_freq_imp,min_max_scale,under_samp,k_best_sel",1,"(1, 0, 0, 0)",4208,0.12633258602119846,0.7584162771948805,0.09292516561988576,0.18103428469380867,0.27841145833333325,0.26823154530475696,0.3004687499999999,0.28474976700479204,0.27841145833333325
