pipe,gen,opt_metric,seed,dp,dpr,eo,eqOdds,accu,precision,recall,f1,roc_auc
"count_enc,most_freq_imp,min_max_scale,k_best_sel,no_samp",0,"(1, 0, 0, 0)",44119,0.0742639109974766,1.358457158265949,0.0423533519798387,0.0481877448655024,0.0875158543214349,0.0152320226709175,0.2492573588981908,0.1480232914495864,0.1275598314600019
"count_enc,most_freq_imp,under_samp,k_best_sel,norm_scale",0,"(1, 0, 0, 0)",44119,0.4129206622103357,-1.0,0.2195509755164498,0.2195509755164498,0.1091133877936807,0.0,0.2182267755873616,0.1224773838467628,0.1091133877936808
"woe_enc,mean_imp,max_abs_scale,k_best_sel,over_samp",0,"(1, 0, 0, 0)",44119,0.199931353246991,1.5725768013663697,0.2047727700279519,0.3501097705181754,0.3410659509202453,0.3354510951130021,0.3581245739604635,0.3469873642352667,0.3410659509202453
"count_enc,median_imp,no_sel,norm_scale,no_samp",0,"(1, 0, 0, 0)",44119,0.0,1.0,1.0,1.0,0.3354774415655012,1.0,1.0,1.0,0.5
"woe_enc,most_freq_imp,max_abs_scale,k_best_sel,over_samp",0,"(1, 0, 0, 0)",44119,0.1029769460455713,1.2950346064217515,0.0309376462200268,0.0757996861520892,0.1273240456714383,0.054144385055827,0.2093920415814587,0.1387117019357954,0.1273240456714383
"target_enc,mean_imp,under_samp,no_scale,k_best_sel",0,"(1, 0, 0, 0)",44119,0.1953103544283314,1.562211974282715,0.1937417699197581,0.3404020726546838,0.3426191601404266,0.3354990038750227,0.3641388738860384,0.3501566418637492,0.3426191601404267
"ordinal_enc,mean_imp,over_samp,no_sel,no_scale",0,"(1, 0, 0, 0)",44119,0.1877084073365144,1.5264029572802107,0.1903357130069866,0.3212837055385149,0.3287757753919563,0.322330393934517,0.3469197341513291,0.3348554157334227,0.3287757753919563
"count_enc,most_freq_imp,over_samp,k_best_sel,no_scale",0,"(1, 0, 0, 0)",44119,0.0763856917222831,1.2369584872497117,0.0069154924199951,0.0296313145183081,0.1465629260395364,0.0268588302149623,0.2730615201090661,0.1677921410704689,0.1465629260395364
"count_enc,mean_imp,max_abs_scale,under_samp,k_best_sel",0,"(1, 0, 0, 0)",44119,0.1993676883358436,1.5735227074749636,0.2014588286530885,0.3489017522179397,0.3414018194706993,0.3352689326841955,0.3599826154469349,0.3478648359673018,0.3414018194706993
"target_enc,most_freq_imp,under_samp,max_abs_scale,k_best_sel",0,"(1, 0, 0, 0)",44119,0.1094987336479861,1.3122358648724295,0.0364001508266218,0.0903038576125924,0.1326859134485551,0.0668533713745044,0.2086652714015663,0.1435937008776011,0.1326859134485551
"count_enc,median_imp,norm_scale,no_sel,no_samp",1,"(1, 0, 0, 0)",44119,0.0,1.0,1.0,1.0,0.3354774415655012,1.0,1.0,1.0,0.5
"count_enc,most_freq_imp,k_best_sel,min_max_scale,no_samp",1,"(1, 0, 0, 0)",44119,0.0742639109974766,1.358457158265949,0.0423533519798387,0.0481877448655024,0.0875158543214349,0.0152320226709175,0.2492573588981908,0.1480232914495864,0.1275598314600019
"count_enc,most_freq_imp,min_max_scale,k_best_sel,no_samp",1,"(1, 0, 0, 0)",44119,0.0742639109974766,1.358457158265949,0.0423533519798387,0.0481877448655024,0.0875158543214349,0.0152320226709175,0.2492573588981908,0.1480232914495864,0.1275598314600019
"target_enc,most_freq_imp,under_samp,max_abs_scale,k_best_sel",1,"(1, 0, 0, 0)",44119,0.1094987336479861,1.3122358648724295,0.0364001508266218,0.0903038576125924,0.1326859134485551,0.0668533713745044,0.2086652714015663,0.1435937008776011,0.1326859134485551
"woe_enc,most_freq_imp,max_abs_scale,k_best_sel,over_samp",1,"(1, 0, 0, 0)",44119,0.1029769460455713,1.2950346064217515,0.0309376462200268,0.0757996861520892,0.1273240456714383,0.054144385055827,0.2093920415814587,0.1387117019357954,0.1273240456714383
