pipe,gen,dp_acc_reps,seed,dp,dpr,eo,eqOdds,accu,precision,recall,f1,roc_auc
"ordinal_enc,median_imp,k_best_sel,no_scale,over_samp",0,"(0, 20)",71483,0.1329448402806438,0.7540773526236814,0.09243767385517307,0.19604044927488212,0.2948660714285715,0.2927570144219071,0.2997767857142857,0.2963082739342789,0.2948660714285714
"woe_enc,median_imp,no_samp,no_sel,quant_scale",0,"(0, 20)",71483,0.12351566152407667,0.8494243702268333,0.08892411689049744,0.20742164318859044,0.2439999999999998,0.2084398976982095,0.11571428571428567,0.16464237516869126,0.3295238095238097
"target_enc,most_freq_imp,no_sel,over_samp,norm_scale",0,"(0, 20)",71483,0.3524431834770525,-1.0,0.5833333333333333,0.8853936863714537,0.4582924107142857,0.44201267341069983,0.5988392857142856,0.5332683497365094,0.4582924107142857
"onehot_enc,mean_imp,norm_scale,no_sel,under_samp",0,"(0, 20)",71483,0.3309359372383352,-1.0,0.5954307338105901,0.8677931191316911,0.4566406249999999,0.4356459637682213,0.6190104166666666,0.5454680211622663,0.456640625
"onehot_enc,most_freq_imp,k_best_sel,over_samp,max_abs_scale",0,"(0, 20)",71483,0.16894379330558115,0.6792966738548507,0.1602525635848812,0.2710740625088379,0.2948660714285716,0.2820710413375699,0.3240401785714286,0.3037479168544852,0.2948660714285716
"loo_enc,mean_imp,quant_scale,no_sel,no_samp",0,"(0, 20)",71483,0.11706404862085075,0.8572894106918963,0.08996101656048425,0.18357742464924887,0.2379999999999999,0.2053571428571428,0.11000000000000013,0.16037735849056586,0.3233333333333338
"ordinal_enc,median_imp,norm_scale,under_samp,k_best_sel",0,"(0, 20)",71483,0.3252198349221398,-1.0,0.5897871989163825,0.8489615108429881,0.452265625,0.4303973854351455,0.6088541666666665,0.537048207079949,0.452265625
"onehot_enc,mean_imp,no_scale,no_sel,under_samp",0,"(0, 20)",71483,0.13231415224484705,0.7529457378038719,0.08804330859753452,0.19319815513195024,0.3009114583333333,0.2969564699634891,0.31067708333333344,0.30395887584520764,0.3009114583333333
"ordinal_enc,most_freq_imp,no_sel,under_samp,max_abs_scale",0,"(0, 20)",71483,0.1604873756718389,0.7127551467286183,0.12129237471372845,0.2564025805353336,0.311171875,0.31258997593209786,0.30739583333333337,0.31004825091696625,0.311171875
"woe_enc,median_imp,no_samp,k_best_sel,no_scale",0,"(0, 20)",71483,0.11351098644226275,0.8621081326669687,0.06605250301598217,0.1989599433349216,0.2379999999999999,0.20685279187817288,0.107142857142857,0.15994623655913992,0.3252380952380953
"ordinal_enc,median_imp,k_best_sel,no_scale,no_samp",1,"(0, 20)",71483,0.12300140252454403,0.8534180177168638,0.07593296044825976,0.23756416271541925,0.269,0.23096129837702864,0.12000000000000008,0.17921385742838133,0.3683333333333332
"woe_enc,median_imp,over_samp,no_sel,quant_scale",1,"(0, 20)",71483,0.1082460516345356,0.7934037038487973,0.054344696856399366,0.13427370719581566,0.2603013392857143,0.2537131110655245,0.2735267857142857,0.2637803617598786,0.2603013392857143
"onehot_enc,mean_imp,no_scale,no_sel,under_samp",1,"(0, 20)",71483,0.13231415224484705,0.7529457378038719,0.08804330859753452,0.19319815513195024,0.3009114583333333,0.2969564699634891,0.31067708333333344,0.30395887584520764,0.3009114583333333
"onehot_enc,mean_imp,norm_scale,no_sel,under_samp",1,"(0, 20)",71483,0.3309359372383352,-1.0,0.5954307338105901,0.8677931191316911,0.4566406249999999,0.4356459637682213,0.6190104166666666,0.5454680211622663,0.456640625
"onehot_enc,mean_imp,no_sel,norm_scale,under_samp",1,"(0, 20)",71483,0.3332885301700648,-1.0,0.5940796966933111,0.8705991921061553,0.4573697916666665,0.4370159783115106,0.6179166666666667,0.5451502137211715,0.4573697916666665
"ordinal_enc,median_imp,no_scale,k_best_sel,over_samp",1,"(0, 20)",71483,0.12999458799218105,0.7590926378593948,0.09396124338228697,0.18892009148901226,0.2931696428571428,0.29110106637504995,0.2979910714285715,0.29458961311580056,0.2931696428571428
"ordinal_enc,median_imp,k_best_sel,no_scale,over_samp",1,"(0, 20)",71483,0.1329448402806438,0.7540773526236814,0.09243767385517307,0.19604044927488212,0.2948660714285715,0.2927570144219071,0.2997767857142857,0.2963082739342789,0.2948660714285714
"loo_enc,mean_imp,quant_scale,no_sel,no_samp",1,"(0, 20)",71483,0.11706404862085075,0.8572894106918963,0.08996101656048425,0.18357742464924887,0.2379999999999999,0.2053571428571428,0.11000000000000013,0.16037735849056586,0.3233333333333338
"woe_enc,median_imp,no_samp,no_sel,quant_scale",1,"(0, 20)",71483,0.12351566152407667,0.8494243702268333,0.08892411689049744,0.20742164318859044,0.2439999999999998,0.2084398976982095,0.11571428571428567,0.16464237516869126,0.3295238095238097
"woe_enc,median_imp,no_samp,k_best_sel,no_scale",1,"(0, 20)",71483,0.11351098644226275,0.8621081326669687,0.06605250301598217,0.1989599433349216,0.2379999999999999,0.20685279187817288,0.107142857142857,0.15994623655913992,0.3252380952380953
"woe_enc,median_imp,no_samp,no_sel,quant_scale",2,"(0, 20)",71483,0.12351566152407667,0.8494243702268333,0.08892411689049744,0.20742164318859044,0.2439999999999998,0.2084398976982095,0.11571428571428567,0.16464237516869126,0.3295238095238097
