pipe,gen,dp_acc_ratio,seed,dp,dpr,eo,eqOdds,accu,precision,recall,f1,roc_auc
"target_enc,most_freq_imp,no_sel,min_max_scale,no_samp",0,"(0, 10)",87842,0.8681076068838388,0.06004900496025821,0.7944639130605969,1.5117003802970668,0.18181818181818168,0.22049689440993755,0.2660818713450296,0.24397590361445826,0.19770395935193186
"target_enc,most_freq_imp,min_max_scale,no_sel,over_samp",0,"(0, 10)",87842,0.8101823308963093,0.1678130973552026,0.5936086979147885,1.4128342736507813,0.19751821493624772,0.1972321793247855,0.1979451275045538,0.19761776270811995,0.19751821493624772
"onehot_enc,median_imp,no_samp,no_sel,max_abs_scale",0,"(0, 10)",87842,0.8481548532382509,0.07205357520274888,0.7394180415009638,1.4196174717003929,0.17171717171717146,0.2092307692307694,0.2485380116959064,0.2293853073463268,0.18619978909021198
"onehot_enc,mean_imp,k_best_sel,quant_scale,no_samp",0,"(0, 10)",87842,0.9566724436741778,0.04332755632582327,0.8807339449541297,1.8550929193131047,0.21212121212121232,0.27433628318584075,0.2807017543859654,0.27753303964757714,0.22505033074489456
"ordinal_enc,mean_imp,no_samp,k_best_sel,norm_scale",0,"(0, 10)",87842,0.19237435008665524,-1.0,0.605504587155963,0.7508037324551092,0.31088664421997725,0.36514522821576745,0.5526315789473691,0.4751286449399652,0.35646150896366563
"woe_enc,median_imp,k_best_sel,under_samp,no_scale",0,"(0, 10)",87842,0.7870821210532605,0.1900893159865742,0.5753146286963029,1.3572566623732871,0.20246253654970772,0.20868949507658432,0.19147478070175444,0.20023104407841605,0.20246253654970772
"ordinal_enc,mean_imp,k_best_sel,under_samp,norm_scale",0,"(0, 10)",87842,0.3177726589024511,-1.0,0.4508314220183486,0.6822954303895761,0.33159722222222204,0.3040867514207621,0.4015442251461992,0.3565248039944145,0.3315972222222221
"woe_enc,most_freq_imp,no_sel,under_samp,no_scale",0,"(0, 10)",87842,0.7754794496874774,0.181281479424393,0.5668398334448949,1.2643587960974063,0.18978435672514626,0.1858896150188972,0.1958150584795323,0.19092118183150456,0.18978435672514626
"woe_enc,mean_imp,no_scale,no_samp,k_best_sel",0,"(0, 10)",87842,0.8374747485897843,0.08691989216252638,0.7222506595267151,1.4470844676938561,0.1907968574635243,0.2425149700598799,0.26023391812865515,0.2514792899408285,0.20388745086760626
"target_enc,most_freq_imp,under_samp,max_abs_scale,k_best_sel",0,"(0, 10)",87842,0.8432028398937419,0.1475210098792764,0.6574816907508761,1.5423456195045433,0.20801352339181292,0.2043002484733304,0.21390716374269025,0.2092507911806012,0.208013523391813
"onehot_enc,mean_imp,k_best_sel,quant_scale,no_samp",1,"(0, 10)",87842,0.9566724436741778,0.04332755632582327,0.8807339449541297,1.8550929193131047,0.21212121212121232,0.27433628318584075,0.2807017543859654,0.27753303964757714,0.22505033074489456
"onehot_enc,median_imp,no_samp,no_sel,max_abs_scale",1,"(0, 10)",87842,0.8481548532382509,0.07205357520274888,0.7394180415009638,1.4196174717003929,0.17171717171717146,0.2092307692307694,0.2485380116959064,0.2293853073463268,0.18619978909021198
"target_enc,most_freq_imp,min_max_scale,no_sel,no_samp",1,"(0, 10)",87842,0.8681076068838388,0.06004900496025821,0.7944639130605969,1.5117003802970668,0.18181818181818168,0.22049689440993755,0.2660818713450296,0.24397590361445826,0.19770395935193186
"onehot_enc,mean_imp,k_best_sel,quant_scale,over_samp",1,"(0, 10)",87842,0.8167189791352886,0.18328102086471146,0.6521918378594577,1.5308977673466369,0.2296789617486337,0.24048717700413266,0.20841871584699453,0.2249460682558,0.2296789617486339
"target_enc,most_freq_imp,no_sel,max_abs_scale,no_samp",1,"(0, 10)",87842,0.8880603605294232,0.048290262094746926,0.8311611607670191,1.5897081693140267,0.1874298540965209,0.2257053291536052,0.2777777777777782,0.2526475037821481,0.20446265938069189
"onehot_enc,median_imp,no_samp,no_sel,min_max_scale",1,"(0, 10)",87842,0.8446886487321871,0.07584586863447243,0.7302437295743596,1.4083064076370382,0.17171717171717146,0.21100917431192684,0.2456140350877192,0.2286995515695068,0.1856485475985044
"target_enc,most_freq_imp,min_max_scale,no_sel,over_samp",1,"(0, 10)",87842,0.8101823308963093,0.1678130973552026,0.5936086979147885,1.4128342736507813,0.19751821493624772,0.1972321793247855,0.1979451275045538,0.19761776270811995,0.19751821493624772
"target_enc,most_freq_imp,under_samp,max_abs_scale,k_best_sel",1,"(0, 10)",87842,0.8432028398937419,0.1475210098792764,0.6574816907508761,1.5423456195045433,0.20801352339181292,0.2043002484733304,0.21390716374269025,0.2092507911806012,0.208013523391813
"woe_enc,most_freq_imp,no_scale,no_samp,k_best_sel",1,"(0, 10)",87842,0.8374747485897843,0.08691989216252638,0.7130763476001098,1.4400469079040046,0.18855218855218853,0.239520958083832,0.25730994152046804,0.2485207100591716,0.2015147157511267
"woe_enc,most_freq_imp,no_sel,under_samp,no_scale",1,"(0, 10)",87842,0.7754794496874774,0.181281479424393,0.5668398334448949,1.2643587960974063,0.18978435672514626,0.1858896150188972,0.1958150584795323,0.19092118183150456,0.18978435672514626
"woe_enc,most_freq_imp,no_sel,under_samp,no_scale",2,"(0, 10)",87842,0.7754794496874774,0.181281479424393,0.5668398334448949,1.2643587960974063,0.18978435672514626,0.1858896150188972,0.1958150584795323,0.19092118183150456,0.18978435672514626
"target_enc,most_freq_imp,min_max_scale,k_best_sel,no_samp",2,"(0, 10)",87842,0.8990661117795754,0.049472191586576265,0.8403354726936245,1.6439916930165137,0.19528619528619545,0.2407407407407405,0.2807017543859654,0.26126126126126115,0.2113891285591029
"onehot_enc,mean_imp,no_sel,quant_scale,no_samp",2,"(0, 10)",87842,0.8021614103257574,0.09396157250975644,0.7142575894790729,1.358607067161884,0.1930415263748594,0.2392638036809812,0.27485380116959096,0.2574850299401201,0.20846515195091575
"onehot_enc,median_imp,no_samp,no_sel,min_max_scale",2,"(0, 10)",87842,0.8446886487321871,0.07584586863447243,0.7302437295743596,1.4083064076370382,0.17171717171717146,0.21100917431192684,0.2456140350877192,0.2286995515695068,0.1856485475985044
"target_enc,most_freq_imp,min_max_scale,no_sel,no_samp",2,"(0, 10)",87842,0.8681076068838388,0.06004900496025821,0.7944639130605969,1.5117003802970668,0.18181818181818168,0.22049689440993755,0.2660818713450296,0.24397590361445826,0.19770395935193186
"target_enc,most_freq_imp,no_sel,max_abs_scale,no_samp",2,"(0, 10)",87842,0.8880603605294232,0.048290262094746926,0.8311611607670191,1.5897081693140267,0.1874298540965209,0.2257053291536052,0.2777777777777782,0.2526475037821481,0.20446265938069189
"woe_enc,most_freq_imp,no_scale,no_samp,k_best_sel",2,"(0, 10)",87842,0.8374747485897843,0.08691989216252638,0.7130763476001098,1.4400469079040046,0.18855218855218853,0.239520958083832,0.25730994152046804,0.2485207100591716,0.2015147157511267
"onehot_enc,median_imp,under_samp,no_sel,max_abs_scale",2,"(0, 10)",87842,0.7987771204630466,0.1788266210011492,0.5899497233925266,1.3952224326652989,0.2022569444444446,0.20435472735718105,0.19841922514619897,0.20146423131547392,0.2022569444444446
