pipe,gen,opt_metric,seed,dp,dpr,eo,eqOdds,accu,precision,recall,f1,roc_auc
"count_enc,median_imp,k_best_sel,under_samp,quant_scale",0,"(1, 0, 0, 0)",12677,0.1892222598871592,1.5490051937448537,0.1563982720805466,0.3125809584122336,0.306552541857953,0.2948250145519835,0.3351167971914663,0.3155686461096134,0.306552541857953
"ordinal_enc,median_imp,over_samp,max_abs_scale,k_best_sel",0,"(1, 0, 0, 0)",12677,0.1975841738776002,1.5790526824737705,0.1881519492296176,0.3392682526134334,0.3285893830947513,0.3189595692649666,0.35518703135651,0.3375726798662418,0.3285893830947512
"woe_enc,median_imp,quant_scale,k_best_sel,no_samp",0,"(1, 0, 0, 0)",12677,0.1063862096585789,1.9811172668513413,0.1181632700377919,0.1850814182877124,0.2542127196955968,0.2717557251908396,0.6135565757493923,0.4950599858856745,0.3431791058706063
"target_enc,mean_imp,no_sel,under_samp,max_abs_scale",0,"(1, 0, 0, 0)",12677,0.1962849716220183,1.5640673612420486,0.1993035839370262,0.3399484342401389,0.3346399878476911,0.3275738284760805,0.3551048136645963,0.3416322947039667,0.3346399878476911
"ordinal_enc,mean_imp,no_sel,over_samp,min_max_scale",0,"(1, 0, 0, 0)",12677,0.1928540084146047,1.5465556254876902,0.1995085593348513,0.3334107032795236,0.3323917859577368,0.3261455551820885,0.3503557430129516,0.3384749453298521,0.3323917859577368
"target_enc,median_imp,under_samp,no_scale,k_best_sel",0,"(1, 0, 0, 0)",12677,0.1851033435133659,1.616046016042134,0.1569952849774787,0.3062636416623441,0.3095674115581961,0.2759151715864901,0.3846121388063732,0.3346862358826913,0.3095674115581961
"ordinal_enc,median_imp,k_best_sel,norm_scale,no_samp",0,"(1, 0, 0, 0)",12677,0.0684210526315789,-1.0,0.8527161438408578,0.876380928903819,0.3019568762456969,0.2035256410256409,0.86578449905482,0.7702796394730758,0.4415493729084591
"woe_enc,most_freq_imp,no_sel,over_samp,no_scale",0,"(1, 0, 0, 0)",12677,0.0768652026806186,1.2357107461249064,0.0080759922723883,0.0318610161717837,0.1455947511929106,0.0307382739999513,0.2679746080436263,0.1659034712355751,0.1455947511929106
"onehot_enc,most_freq_imp,over_samp,quant_scale,k_best_sel",0,"(1, 0, 0, 0)",12677,0.1192731307490612,1.359648114073094,0.0529654997493549,0.1219177711863752,0.16857745398773,0.0972684072035352,0.2571042092706203,0.1849529756345177,0.16857745398773
"woe_enc,most_freq_imp,k_best_sel,under_samp,min_max_scale",0,"(1, 0, 0, 0)",12677,0.111142703598486,1.3177327723460233,0.0366858982904793,0.0920454493504368,0.132920098568728,0.0673998352521502,0.2086357345395625,0.1438063904822445,0.132920098568728
"count_enc,median_imp,k_best_sel,under_samp,quant_scale",1,"(1, 0, 0, 0)",12677,0.1892222598871592,1.5490051937448537,0.1563982720805466,0.3125809584122336,0.306552541857953,0.2948250145519835,0.3351167971914663,0.3155686461096134,0.306552541857953
"onehot_enc,most_freq_imp,over_samp,quant_scale,k_best_sel",1,"(1, 0, 0, 0)",12677,0.1192731307490612,1.359648114073094,0.0529654997493549,0.1219177711863752,0.16857745398773,0.0972684072035352,0.2571042092706203,0.1849529756345177,0.16857745398773
"woe_enc,mean_imp,k_best_sel,under_samp,min_max_scale",1,"(1, 0, 0, 0)",12677,0.2029799758339555,1.5861978860801544,0.2058429079783717,0.3554359209839637,0.3411613050229544,0.3354684432379881,0.3584087226573049,0.3471463799181297,0.3411613050229544
"ordinal_enc,most_freq_imp,no_sel,over_samp,min_max_scale",1,"(1, 0, 0, 0)",12677,0.1048432258553351,1.299912584302795,0.030943253836895,0.0792342672632303,0.1289419308111792,0.0580390576556928,0.2091577198364007,0.1401900413440766,0.1289419308111792
"target_enc,median_imp,under_samp,norm_scale,k_best_sel",1,"(1, 0, 0, 0)",12677,0.5142099825660044,-1.0,0.4336923775822492,0.8893241646703519,0.448287283958952,0.4483976401634468,0.4471332365649472,0.4477678760901862,0.4482872839589521
"ordinal_enc,median_imp,k_best_sel,no_scale,no_samp",1,"(1, 0, 0, 0)",12677,0.0892827966085709,1.8923605168888031,0.0943707085461274,0.1491996179600914,0.2563870266352598,0.2504288164665524,0.6459627329192541,0.5190755685986799,0.3528382171753738
"woe_enc,most_freq_imp,no_sel,over_samp,no_scale",1,"(1, 0, 0, 0)",12677,0.0768652026806186,1.2357107461249064,0.0080759922723883,0.0318610161717837,0.1455947511929106,0.0307382739999513,0.2679746080436263,0.1659034712355751,0.1455947511929106
"ordinal_enc,mean_imp,no_sel,over_samp,min_max_scale",1,"(1, 0, 0, 0)",12677,0.1928540084146047,1.5465556254876902,0.1995085593348513,0.3334107032795236,0.3323917859577368,0.3261455551820885,0.3503557430129516,0.3384749453298521,0.3323917859577368
"ordinal_enc,median_imp,k_best_sel,norm_scale,no_samp",1,"(1, 0, 0, 0)",12677,0.0684210526315789,-1.0,0.8527161438408578,0.876380928903819,0.3019568762456969,0.2035256410256409,0.86578449905482,0.7702796394730758,0.4415493729084591
