pipe,gen,opt_metric,seed,dp,dpr,eo,eqOdds,accu,precision,recall,f1,roc_auc
"loo_enc,median_imp,no_sel,under_samp,quant_scale",0,"(1, 0, 0, 0)",22432,0.3878042145233255,0.3763092837159765,0.1989343080869077,0.43427302865064976,0.19989279109807426,0.2099823092352981,0.1824942609361051,0.19647409285597314,0.19989279109807426
"count_enc,median_imp,no_samp,max_abs_scale,k_best_sel",0,"(1, 0, 0, 0)",22432,0.1892537535882498,0.1323712832552159,0.30378555064881285,0.3879533901448856,0.17520960658456447,0.2890995260663512,0.5408748884070914,0.44207671445176266,0.3000490946889822
"count_enc,median_imp,k_best_sel,no_scale,no_samp",0,"(1, 0, 0, 0)",22432,0.08840852170103554,0.3040384075630186,0.04010173533687315,0.09257467793093524,0.2167930960351344,0.3771984924623117,0.7470985843642386,0.6402721088435377,0.3978413633795306
"target_enc,mean_imp,norm_scale,k_best_sel,over_samp",0,"(1, 0, 0, 0)",22432,0.26151342302230285,-1.0,0.585610800452328,0.78789688521046,0.4114390549150485,0.3699994515083605,0.5707878236245953,0.489448340913298,0.4114390549150485
"count_enc,mean_imp,k_best_sel,no_scale,no_samp",0,"(1, 0, 0, 0)",22432,0.14354411197711944,0.1867326573111203,0.1777787708393331,0.24939428508992725,0.19495715733546254,0.322304213282552,0.6369085575819404,0.5271549576482313,0.34584101018255675
"count_enc,median_imp,over_samp,min_max_scale,k_best_sel",0,"(1, 0, 0, 0)",22432,0.4489121525617111,0.28128658533228457,0.3696913503991148,0.6364633357956797,0.22222801628236247,0.2243199319584992,0.21843459243527505,0.22138889372288556,0.22222801628236247
"count_enc,mean_imp,over_samp,max_abs_scale,no_sel",0,"(1, 0, 0, 0)",22432,0.4472995699944871,0.2835845274715916,0.3696003216276469,0.6349758200089328,0.22291571854773465,0.22503706090443215,0.21905845469255655,0.22205978225698675,0.22291571854773465
"onehot_enc,mean_imp,no_sel,over_samp,no_scale",0,"(1, 0, 0, 0)",22432,0.3811861687661885,0.3917775314047605,0.16149012450580946,0.3917013314503636,0.18598775030339804,0.20044273755985245,0.16185970368122982,0.18160663602853705,0.18598775030339804
"woe_enc,mean_imp,no_samp,k_best_sel,max_abs_scale",0,"(1, 0, 0, 0)",22432,0.19161603218814294,0.21071581448400195,0.2154039634359832,0.3010403941121721,0.16252572095451612,0.28180106146207834,0.4649917102410406,0.38678555766700745,0.2657887353794201
"target_enc,most_freq_imp,quant_scale,k_best_sel,over_samp",0,"(1, 0, 0, 0)",22432,0.3928750584298064,0.3740871649103443,0.20778151999477115,0.4457024920934683,0.19834395226537208,0.2109641064549607,0.17651256573624602,0.1941066865891765,0.19834395226537205
"woe_enc,mean_imp,max_abs_scale,k_best_sel,no_samp",1,"(1, 0, 0, 0)",22432,0.19161603218814294,0.21071581448400195,0.2154039634359832,0.3010403941121721,0.16252572095451612,0.28180106146207834,0.4649917102410406,0.38678555766700745,0.2657887353794201
