pipe,gen,acc_dp_reps,seed,dp,dpr,eo,eqOdds,accu,precision,recall,f1,roc_auc
"target_enc,most_freq_imp,k_best_sel,no_scale,no_samp",0,"(0, 20)",94099,0.8687147446157931,0.07218901425388177,0.790172067567035,1.5541796649079642,0.19640852974186288,0.2492492492492495,0.2690058479532166,0.2592592592592595,0.21009490940465936
"ordinal_enc,mean_imp,min_max_scale,no_sel,over_samp",0,"(0, 20)",94099,0.8343719991306867,0.1470758694081838,0.7020327090820767,1.5285848220925224,0.22142531876138435,0.2156595775547153,0.2315573770491804,0.2237061249712504,0.22142531876138435
"count_enc,median_imp,no_samp,no_sel,norm_scale",0,"(0, 20)",94099,0.11785095320623908,-1.0,0.7247706422018345,0.8059672233984168,0.2828282828282834,0.272727272727273,0.5789473684210525,0.466666666666666,0.33865401207937873
"woe_enc,most_freq_imp,min_max_scale,no_sel,no_samp",0,"(0, 20)",94099,0.8646414023777714,0.06380206777027424,0.7761152892073874,1.4933517564438563,0.17957351290684606,0.219135802469136,0.26023391812865515,0.24024024024024015,0.19477998274374464
"onehot_enc,mean_imp,k_best_sel,min_max_scale,no_samp",0,"(0, 20)",94099,0.967071057192376,0.03292894280762562,0.8990825688073387,1.8819885517133208,0.2098765432098766,0.26726726726726696,0.28654970760233905,0.27703703703703664,0.22433132010353773
"ordinal_enc,mean_imp,quant_scale,under_samp,k_best_sel",0,"(0, 20)",94099,0.8297893126214587,0.169938882089676,0.6756297495767216,1.5634238408892076,0.2297377558479531,0.2369151646013381,0.21573464912280704,0.2265937616072603,0.2297377558479531
"count_enc,most_freq_imp,no_samp,no_scale,k_best_sel",0,"(0, 20)",94099,0.8484804998399368,0.08759288715842459,0.7357168169468835,1.4933141578775595,0.19640852974186288,0.2536873156342185,0.26023391812865515,0.25697503671072,0.20844118492953706
"count_enc,median_imp,over_samp,max_abs_scale,k_best_sel",0,"(0, 20)",94099,0.8143434481621181,0.17335258975719967,0.6294015764178749,1.4690783926571909,0.21310052367941704,0.2179134905156492,0.20449112021857924,0.21128762668244053,0.21310052367941704
"count_enc,most_freq_imp,quant_scale,no_samp,no_sel",0,"(0, 20)",94099,0.8597235867489422,0.06590586076412425,0.809111312359727,1.5382186248003749,0.1975308641975312,0.2438271604938275,0.28362573099415184,0.2642642642642643,0.21376186367558248
"target_enc,median_imp,min_max_scale,no_samp,k_best_sel",0,"(0, 20)",94099,0.9007992140326094,0.04763988819448087,0.8495097846202312,1.653166004943117,0.19640852974186288,0.2414860681114548,0.28362573099415184,0.2631578947368424,0.2128511168631958
"count_enc,median_imp,no_samp,k_best_sel,norm_scale",1,"(0, 20)",94099,0.11785095320623908,-1.0,0.7247706422018345,0.8059672233984168,0.2828282828282834,0.272727272727273,0.5789473684210525,0.466666666666666,0.33865401207937873
"count_enc,most_freq_imp,no_samp,no_scale,no_sel",1,"(0, 20)",94099,0.8013169369349473,0.10457822705489787,0.7130763476001098,1.3365331377235674,0.18967452300785628,0.2417910447761197,0.25730994152046804,0.2496307237813884,0.20242546256351265
"count_enc,median_imp,norm_scale,no_samp,no_sel",1,"(0, 20)",94099,0.11785095320623908,-1.0,0.7247706422018345,0.8059672233984168,0.2828282828282834,0.272727272727273,0.5789473684210525,0.466666666666666,0.33865401207937873
"ordinal_enc,mean_imp,under_samp,k_best_sel,quant_scale",1,"(0, 20)",94099,0.8235773458625295,0.16953686700354112,0.6571673081466316,1.5250608589255084,0.2228161549707601,0.2276795245343138,0.21340460526315785,0.22072375451287,0.22281615497076007
