pipe,gen,opt_metric,seed,dp,dpr,eo,eqOdds,accu,precision,recall,f1,roc_auc
"loo_enc,most_freq_imp,no_sel,no_scale,no_samp",0,"(1, 0, 0, 0)",83887,0.8232842839638367,0.08653263192705038,0.7540654408000953,1.4005516706196584,0.18855218855218853,0.23475609756097535,0.2660818713450296,0.250746268656716,0.20316844022624853
"loo_enc,most_freq_imp,k_best_sel,norm_scale,no_samp",0,"(1, 0, 0, 0)",83887,0.2045060658578853,-1.0,0.5871559633027519,0.7431388692856585,0.31200897867564564,0.3709677419354839,0.5438596491228076,0.4711864406779656,0.3557185313009299
"woe_enc,median_imp,quant_scale,under_samp,k_best_sel",0,"(1, 0, 0, 0)",83887,0.8330618183861039,0.1653762395436247,0.6705707120919794,1.5645337114232796,0.22619700292397646,0.23162050211309665,0.21559758771929827,0.2238333854102857,0.22619700292397646
"woe_enc,median_imp,under_samp,no_sel,no_scale",0,"(1, 0, 0, 0)",83887,0.7746812221233039,0.1806203018077016,0.5617647999763753,1.2504523341040683,0.1861065423976608,0.18068820533050547,0.19439875730994166,0.1876460094993835,0.1861065423976608
"target_enc,mean_imp,no_scale,k_best_sel,over_samp",0,"(1, 0, 0, 0)",83887,0.813536083895937,0.16938192738129268,0.6152720680087408,1.4383334106013332,0.20451958105646625,0.20591411217695774,0.2021004098360656,0.2040407766289808,0.20451958105646625
"woe_enc,mean_imp,under_samp,k_best_sel,quant_scale",0,"(1, 0, 0, 0)",83887,0.8444458744535165,0.15261146328725236,0.6833035151789586,1.5758008915806652,0.21993786549707608,0.22066824286823647,0.21824744152046785,0.21956828005061774,0.21993786549707603
"target_enc,most_freq_imp,no_sel,quant_scale,over_samp",0,"(1, 0, 0, 0)",83887,0.8423125042316095,0.15673114530461835,0.6833865207714905,1.582473207618594,0.22358834244080136,0.2269055722016517,0.21746926229508204,0.22225708004678074,0.22358834244080136
"onehot_enc,median_imp,under_samp,norm_scale,k_best_sel",0,"(1, 0, 0, 0)",83887,0.32443874260826444,-1.0,0.4393635321100917,0.6755845919850765,0.3352065058479531,0.3096986751024953,0.4020010964912285,0.3591915821497713,0.3352065058479531
"loo_enc,median_imp,no_sel,no_scale,no_samp",0,"(1, 0, 0, 0)",83887,0.8316683040987323,0.08047941025703613,0.7540654408000953,1.4193076060422583,0.1863075196408528,0.2300613496932513,0.2660818713450296,0.2485029940119756,0.201346946601476
"loo_enc,median_imp,no_sel,over_samp,quant_scale",0,"(1, 0, 0, 0)",83887,0.8342665228388042,0.15755389798783398,0.6803392359845863,1.5333039795743295,0.2190915300546448,0.2200263979662206,0.2173838797814207,0.2187277077024862,0.21909153005464485
"target_enc,most_freq_imp,no_sel,quant_scale,no_samp",1,"(1, 0, 0, 0)",83887,0.8579904844959093,0.0677888853573849,0.7730046855927876,1.531076860331627,0.19640852974186288,0.2430769230769233,0.2807017543859654,0.26236881559220393,0.21229987537148884
"loo_enc,most_freq_imp,k_best_sel,norm_scale,over_samp",1,"(1, 0, 0, 0)",83887,0.33182897904638103,-1.0,0.4335019669562634,0.6777928323408786,0.33733208105646645,0.314302804753838,0.3994193989071039,0.3597059085645675,0.33733208105646645
"target_enc,most_freq_imp,no_sel,quant_scale,under_samp",1,"(1, 0, 0, 0)",83887,0.8474925887454584,0.15053231048449778,0.7013168386029847,1.5973040399410803,0.22521472953216365,0.2255586137870709,0.22432383040935666,0.2250005977464555,0.2252147295321636
"onehot_enc,median_imp,over_samp,norm_scale,k_best_sel",1,"(1, 0, 0, 0)",83887,0.3280015454202728,-1.0,0.4362229350550984,0.6760733624055261,0.33189606102003644,0.3089715621599685,0.3919341985428052,0.3531364330555496,0.33189606102003644
"loo_enc,most_freq_imp,no_sel,quant_scale,no_samp",1,"(1, 0, 0, 0)",83887,0.8579904844959093,0.0677888853573849,0.7730046855927876,1.531076860331627,0.19640852974186288,0.2430769230769233,0.2807017543859654,0.26236881559220393,0.21229987537148884
"loo_enc,median_imp,no_sel,over_samp,no_scale",1,"(1, 0, 0, 0)",83887,0.796638589852752,0.16325356506010594,0.6141503926701615,1.3426975496027351,0.1970913023679417,0.1878827432522147,0.21180555555555555,0.2000478250418669,0.19709130236794173
"woe_enc,median_imp,under_samp,no_sel,no_scale",1,"(1, 0, 0, 0)",83887,0.7746812221233039,0.1806203018077016,0.5617647999763753,1.2504523341040683,0.1861065423976608,0.18068820533050547,0.19439875730994166,0.1876460094993835,0.1861065423976608
"onehot_enc,median_imp,under_samp,norm_scale,k_best_sel",1,"(1, 0, 0, 0)",83887,0.32443874260826444,-1.0,0.4393635321100917,0.6755845919850765,0.3352065058479531,0.3096986751024953,0.4020010964912285,0.3591915821497713,0.3352065058479531
"target_enc,mean_imp,no_scale,k_best_sel,over_samp",1,"(1, 0, 0, 0)",83887,0.813536083895937,0.16938192738129268,0.6152720680087408,1.4383334106013332,0.20451958105646625,0.20591411217695774,0.2021004098360656,0.2040407766289808,0.20451958105646625
"loo_enc,most_freq_imp,k_best_sel,norm_scale,no_samp",1,"(1, 0, 0, 0)",83887,0.2045060658578853,-1.0,0.5871559633027519,0.7431388692856585,0.31200897867564564,0.3709677419354839,0.5438596491228076,0.4711864406779656,0.3557185313009299
"loo_enc,most_freq_imp,no_sel,norm_scale,no_samp",2,"(1, 0, 0, 0)",83887,0.2045060658578853,-1.0,0.5871559633027519,0.7431388692856585,0.31200897867564564,0.3709677419354839,0.5438596491228076,0.4711864406779656,0.3557185313009299
"loo_enc,median_imp,k_best_sel,over_samp,no_scale",2,"(1, 0, 0, 0)",83887,0.8126457766839567,0.17003592158526254,0.6150450262622325,1.4383029797285196,0.20548724954462666,0.2068007949464349,0.20323884335154827,0.205054295712392,0.20548724954462666
"woe_enc,median_imp,under_samp,no_sel,norm_scale",2,"(1, 0, 0, 0)",83887,0.2999673113035758,-1.0,0.4810779816513762,0.6990743609792393,0.3178453947368419,0.2932134735934233,0.37710160818713456,0.3378701870804265,0.3178453947368419
"onehot_enc,median_imp,over_samp,no_scale,k_best_sel",2,"(1, 0, 0, 0)",83887,0.8248065608148984,0.1751934391851014,0.6495859728941892,1.5400440391335055,0.2236452641165756,0.2323650799403553,0.20636953551912568,0.21985487032191636,0.2236452641165756
"loo_enc,most_freq_imp,no_sel,quant_scale,no_samp",2,"(1, 0, 0, 0)",83887,0.8579904844959093,0.0677888853573849,0.7730046855927876,1.531076860331627,0.19640852974186288,0.2430769230769233,0.2807017543859654,0.26236881559220393,0.21229987537148884
"target_enc,most_freq_imp,no_sel,quant_scale,under_samp",2,"(1, 0, 0, 0)",83887,0.8474925887454584,0.15053231048449778,0.7013168386029847,1.5973040399410803,0.22521472953216365,0.2255586137870709,0.22432383040935666,0.2250005977464555,0.2252147295321636
"onehot_enc,median_imp,over_samp,norm_scale,k_best_sel",2,"(1, 0, 0, 0)",83887,0.3280015454202728,-1.0,0.4362229350550984,0.6760733624055261,0.33189606102003644,0.3089715621599685,0.3919341985428052,0.3531364330555496,0.33189606102003644
"onehot_enc,median_imp,under_samp,norm_scale,k_best_sel",2,"(1, 0, 0, 0)",83887,0.32443874260826444,-1.0,0.4393635321100917,0.6755845919850765,0.3352065058479531,0.3096986751024953,0.4020010964912285,0.3591915821497713,0.3352065058479531
"loo_enc,most_freq_imp,k_best_sel,norm_scale,over_samp",2,"(1, 0, 0, 0)",83887,0.33182897904638103,-1.0,0.4335019669562634,0.6777928323408786,0.33733208105646645,0.314302804753838,0.3994193989071039,0.3597059085645675,0.33733208105646645
"loo_enc,most_freq_imp,k_best_sel,norm_scale,no_samp",2,"(1, 0, 0, 0)",83887,0.2045060658578853,-1.0,0.5871559633027519,0.7431388692856585,0.31200897867564564,0.3709677419354839,0.5438596491228076,0.4711864406779656,0.3557185313009299
