pipe,gen,dp_acc_reps,seed,dp,dpr,eo,eqOdds,accu,precision,recall,f1,roc_auc
"loo_enc,most_freq_imp,norm_scale,k_best_sel,under_samp",0,"(0, 20)",4208,0.3540720782677573,-1.0,0.5769590514341953,0.8762709780397001,0.4606250000000001,0.44571851279998254,0.5947395833333333,0.5321851990668619,0.4606250000000001
"woe_enc,most_freq_imp,k_best_sel,under_samp,min_max_scale",0,"(0, 20)",4208,0.12174681323569925,0.7685865425007027,0.08272212753877789,0.16964543077140193,0.2760677083333334,0.2663670790707444,0.2968229166666668,0.2819842280036086,0.2760677083333334
"loo_enc,most_freq_imp,min_max_scale,k_best_sel,no_samp",0,"(0, 20)",4208,0.10930341280972412,0.868607395751376,0.060110270291827465,0.19561149513451945,0.24000000000000016,0.211779448621554,0.10142857142857142,0.16021361815754348,0.3323809523809519
"target_enc,median_imp,under_samp,quant_scale,k_best_sel",0,"(0, 20)",4208,0.1303339931170674,0.7587387342566024,0.07987385496210837,0.18905747329151906,0.2778645833333333,0.2750324805698955,0.2841666666666668,0.2796729608186809,0.2778645833333333
"loo_enc,median_imp,min_max_scale,no_sel,over_samp",0,"(0, 20)",4208,0.11503800163013693,0.7825440090005558,0.054808622219563535,0.14230210263490353,0.25284598214285714,0.2477024379379901,0.26285714285714284,0.2553835875615087,0.25284598214285714
"ordinal_enc,median_imp,no_samp,k_best_sel,norm_scale",0,"(0, 20)",4208,1.0,-1.0,0.0,1.0,0.3000000000000004,0.3000000000000004,0.0,0.17647058823529407,0.5
"count_enc,median_imp,quant_scale,no_samp,k_best_sel",0,"(0, 20)",4208,0.11262272089761563,0.8711282298186498,0.060040478967886085,0.24511180804228905,0.2950000000000002,0.2586412395709181,0.11142857142857128,0.19168291098115675,0.4173809523809524
"target_enc,most_freq_imp,no_sel,no_samp,min_max_scale",0,"(0, 20)",4208,0.10883590462833112,0.8675541901348344,0.05306134657374443,0.20167559317540606,0.2439999999999998,0.2106598984771573,0.11142857142857128,0.16397849462365596,0.3323809523809519
"loo_enc,median_imp,min_max_scale,no_samp,no_sel",0,"(0, 20)",4208,0.11061243571762518,0.8651544511569595,0.05306134657374443,0.20561430300777106,0.2420000000000004,0.2086513994910941,0.11142857142857128,0.16285329744279942,0.329047619047619
"onehot_enc,median_imp,no_sel,over_samp,no_scale",0,"(0, 20)",4208,0.1183807193095868,0.7752762051409281,0.07396540593625063,0.1564673497664452,0.26791294642857144,0.2614073492456757,0.28138392857142863,0.2715675300253427,0.2679129464285714
"woe_enc,most_freq_imp,min_max_scale,k_best_sel,under_samp",1,"(0, 20)",4208,0.14266896434753526,0.7281725287647774,0.10309536956410913,0.20557162322662886,0.28096354166666665,0.27024206104102444,0.3041666666666665,0.28765753068151273,0.2809635416666667
"loo_enc,most_freq_imp,k_best_sel,no_samp,min_max_scale",1,"(0, 20)",4208,0.10930341280972412,0.868607395751376,0.060110270291827465,0.19561149513451945,0.24000000000000016,0.211779448621554,0.10142857142857142,0.16021361815754348,0.3323809523809519
"loo_enc,most_freq_imp,min_max_scale,k_best_sel,no_samp",1,"(0, 20)",4208,0.10930341280972412,0.868607395751376,0.060110270291827465,0.19561149513451945,0.24000000000000016,0.211779448621554,0.10142857142857142,0.16021361815754348,0.3323809523809519
"count_enc,median_imp,quant_scale,no_samp,k_best_sel",1,"(0, 20)",4208,0.11262272089761563,0.8711282298186498,0.060040478967886085,0.24511180804228905,0.2950000000000002,0.2586412395709181,0.11142857142857128,0.19168291098115675,0.4173809523809524
"target_enc,most_freq_imp,min_max_scale,no_sel,no_samp",1,"(0, 20)",4208,0.10883590462833112,0.8675541901348344,0.05306134657374443,0.20167559317540606,0.2439999999999998,0.2106598984771573,0.11142857142857128,0.16397849462365596,0.3323809523809519
"loo_enc,median_imp,no_sel,over_samp,min_max_scale",1,"(0, 20)",4208,0.11217816304763968,0.7874622708393999,0.0550483741114069,0.1375999931393507,0.2510156250000001,0.2453828180028319,0.2619866071428572,0.2537923859355671,0.2510156250000001
"target_enc,most_freq_imp,no_sel,no_samp,min_max_scale",1,"(0, 20)",4208,0.10883590462833112,0.8675541901348344,0.05306134657374443,0.20167559317540606,0.2439999999999998,0.2106598984771573,0.11142857142857128,0.16397849462365596,0.3323809523809519
"woe_enc,most_freq_imp,k_best_sel,under_samp,min_max_scale",1,"(0, 20)",4208,0.12174681323569925,0.7685865425007027,0.08272212753877789,0.16964543077140193,0.2760677083333334,0.2663670790707444,0.2968229166666668,0.2819842280036086,0.2760677083333334
"loo_enc,most_freq_imp,norm_scale,k_best_sel,under_samp",1,"(0, 20)",4208,0.3540720782677573,-1.0,0.5769590514341953,0.8762709780397001,0.4606250000000001,0.44571851279998254,0.5947395833333333,0.5321851990668619,0.4606250000000001
"loo_enc,median_imp,min_max_scale,no_sel,over_samp",1,"(0, 20)",4208,0.11503800163013693,0.7825440090005558,0.054808622219563535,0.14230210263490353,0.25284598214285714,0.2477024379379901,0.26285714285714284,0.2553835875615087,0.25284598214285714
"target_enc,most_freq_imp,no_sel,no_samp,min_max_scale",2,"(0, 20)",4208,0.10883590462833112,0.8675541901348344,0.05306134657374443,0.20167559317540606,0.2439999999999998,0.2106598984771573,0.11142857142857128,0.16397849462365596,0.3323809523809519
"loo_enc,most_freq_imp,min_max_scale,k_best_sel,no_samp",2,"(0, 20)",4208,0.10930341280972412,0.868607395751376,0.060110270291827465,0.19561149513451945,0.24000000000000016,0.211779448621554,0.10142857142857142,0.16021361815754348,0.3323809523809519
"loo_enc,median_imp,min_max_scale,no_sel,under_samp",2,"(0, 20)",4208,0.12112230790978483,0.7726673052213999,0.080015703164828,0.16709961689747602,0.2750520833333333,0.27078249253885955,0.2842708333333333,0.2776726123253418,0.2750520833333333
"woe_enc,most_freq_imp,min_max_scale,k_best_sel,over_samp",2,"(0, 20)",4208,0.12072846460079245,0.7653353897320979,0.07304144981505299,0.16525430492308404,0.2669642857142857,0.2539187152305645,0.29323660714285715,0.2741428176481789,0.2669642857142857
"woe_enc,median_imp,min_max_scale,no_sel,over_samp",2,"(0, 20)",4208,0.11143093566581444,0.7870692810228832,0.0664581650863917,0.139750464626138,0.2534933035714286,0.2461960652506741,0.2677678571428571,0.257154420023075,0.2534933035714286
"loo_enc,most_freq_imp,min_max_scale,k_best_sel,under_samp",2,"(0, 20)",4208,0.13119371342730876,0.75060957659497,0.0864936049933824,0.1822122093932096,0.27953125,0.2705808921746599,0.2990104166666667,0.2851531341595,0.27953124999999995
"loo_enc,median_imp,no_sel,over_samp,min_max_scale",2,"(0, 20)",4208,0.11217816304763968,0.7874622708393999,0.0550483741114069,0.1375999931393507,0.2510156250000001,0.2453828180028319,0.2619866071428572,0.2537923859355671,0.2510156250000001
"target_enc,most_freq_imp,min_max_scale,no_sel,no_samp",2,"(0, 20)",4208,0.10883590462833112,0.8675541901348344,0.05306134657374443,0.20167559317540606,0.2439999999999998,0.2106598984771573,0.11142857142857128,0.16397849462365596,0.3323809523809519
"loo_enc,most_freq_imp,k_best_sel,no_samp,min_max_scale",2,"(0, 20)",4208,0.10930341280972412,0.868607395751376,0.060110270291827465,0.19561149513451945,0.24000000000000016,0.211779448621554,0.10142857142857142,0.16021361815754348,0.3323809523809519
"target_enc,median_imp,no_sel,no_samp,min_max_scale",2,"(0, 20)",4208,0.11061243571762518,0.8651544511569595,0.05306134657374443,0.20561430300777106,0.2420000000000004,0.2086513994910941,0.11142857142857128,0.16285329744279942,0.329047619047619
