pipe,gen,reps,seed,dp,dpr,eo,eqOdds,accu,precision,recall,f1,roc_auc
"count_enc,most_freq_imp,min_max_scale,k_best_sel,no_samp",0,accu_dp,44119,0.0742639109974766,1.358457158265949,0.0423533519798387,0.0481877448655024,0.0875158543214349,0.0152320226709175,0.2492573588981908,0.1480232914495864,0.1275598314600019
"count_enc,most_freq_imp,under_samp,k_best_sel,norm_scale",0,accu_dp,44119,0.4129206622103357,-1.0,0.2195509755164498,0.2195509755164498,0.1091133877936807,0.0,0.2182267755873616,0.1224773838467628,0.1091133877936808
"woe_enc,mean_imp,max_abs_scale,k_best_sel,over_samp",0,accu_dp,44119,0.199931353246991,1.5725768013663697,0.2047727700279519,0.3501097705181754,0.3410659509202453,0.3354510951130021,0.3581245739604635,0.3469873642352667,0.3410659509202453
"count_enc,median_imp,no_sel,norm_scale,no_samp",0,accu_dp,44119,0.0,1.0,1.0,1.0,0.3354774415655012,1.0,1.0,1.0,0.5
"woe_enc,most_freq_imp,max_abs_scale,k_best_sel,over_samp",0,accu_dp,44119,0.1029769460455713,1.2950346064217515,0.0309376462200268,0.0757996861520892,0.1273240456714383,0.054144385055827,0.2093920415814587,0.1387117019357954,0.1273240456714383
"target_enc,mean_imp,under_samp,no_scale,k_best_sel",0,accu_dp,44119,0.1953103544283314,1.562211974282715,0.1937417699197581,0.3404020726546838,0.3426191601404266,0.3354990038750227,0.3641388738860384,0.3501566418637492,0.3426191601404267
"ordinal_enc,mean_imp,over_samp,no_sel,no_scale",0,accu_dp,44119,0.1877084073365144,1.5264029572802107,0.1903357130069866,0.3212837055385149,0.3287757753919563,0.322330393934517,0.3469197341513291,0.3348554157334227,0.3287757753919563
"count_enc,most_freq_imp,over_samp,k_best_sel,no_scale",0,accu_dp,44119,0.0763856917222831,1.2369584872497117,0.0069154924199951,0.0296313145183081,0.1465629260395364,0.0268588302149623,0.2730615201090661,0.1677921410704689,0.1465629260395364
"count_enc,mean_imp,max_abs_scale,under_samp,k_best_sel",0,accu_dp,44119,0.1993676883358436,1.5735227074749636,0.2014588286530885,0.3489017522179397,0.3414018194706993,0.3352689326841955,0.3599826154469349,0.3478648359673018,0.3414018194706993
"target_enc,most_freq_imp,under_samp,max_abs_scale,k_best_sel",0,accu_dp,44119,0.1094987336479861,1.3122358648724295,0.0364001508266218,0.0903038576125924,0.1326859134485551,0.0668533713745044,0.2086652714015663,0.1435937008776011,0.1326859134485551
"count_enc,most_freq_imp,no_samp,k_best_sel,min_max_scale",1,accu_dp,44119,0.0742639109974766,1.358457158265949,0.0423533519798387,0.0481877448655024,0.0875158543214349,0.0152320226709175,0.2492573588981908,0.1480232914495864,0.1275598314600019
"count_enc,most_freq_imp,norm_scale,k_best_sel,under_samp",1,accu_dp,44119,0.4166431206841456,-1.0,0.2186483837031369,0.2251033506333665,0.1156051681069403,0.0075035555445066,0.2253240615716986,0.1298497860683286,0.1156051681069402
"count_enc,most_freq_imp,under_samp,k_best_sel,norm_scale",1,accu_dp,44119,0.4129206622103357,-1.0,0.2195509755164498,0.2195509755164498,0.1091133877936807,0.0,0.2182267755873616,0.1224773838467628,0.1091133877936808
"count_enc,most_freq_imp,over_samp,k_best_sel,no_scale",1,accu_dp,44119,0.0763856917222831,1.2369584872497117,0.0069154924199951,0.0296313145183081,0.1465629260395364,0.0268588302149623,0.2730615201090661,0.1677921410704689,0.1465629260395364
"target_enc,most_freq_imp,under_samp,max_abs_scale,k_best_sel",1,accu_dp,44119,0.1094987336479861,1.3122358648724295,0.0364001508266218,0.0903038576125924,0.1326859134485551,0.0668533713745044,0.2086652714015663,0.1435937008776011,0.1326859134485551
"count_enc,median_imp,no_sel,norm_scale,no_samp",1,accu_dp,44119,0.0,1.0,1.0,1.0,0.3354774415655012,1.0,1.0,1.0,0.5
"count_enc,most_freq_imp,min_max_scale,k_best_sel,no_samp",1,accu_dp,44119,0.0742639109974766,1.358457158265949,0.0423533519798387,0.0481877448655024,0.0875158543214349,0.0152320226709175,0.2492573588981908,0.1480232914495864,0.1275598314600019
"ordinal_enc,mean_imp,over_samp,no_sel,no_scale",1,accu_dp,44119,0.1877084073365144,1.5264029572802107,0.1903357130069866,0.3212837055385149,0.3287757753919563,0.322330393934517,0.3469197341513291,0.3348554157334227,0.3287757753919563
"woe_enc,most_freq_imp,max_abs_scale,k_best_sel,over_samp",1,accu_dp,44119,0.1029769460455713,1.2950346064217515,0.0309376462200268,0.0757996861520892,0.1273240456714383,0.054144385055827,0.2093920415814587,0.1387117019357954,0.1273240456714383
"woe_enc,mean_imp,max_abs_scale,k_best_sel,over_samp",1,accu_dp,44119,0.199931353246991,1.5725768013663697,0.2047727700279519,0.3501097705181754,0.3410659509202453,0.3354510951130021,0.3581245739604635,0.3469873642352667,0.3410659509202453
"count_enc,median_imp,no_sel,no_scale,no_samp",2,accu_dp,44119,0.097797936295344,1.7961460997348022,0.0965813803332062,0.1583694443031707,0.2479615872440654,0.2657613967022311,0.5911423170402373,0.4747614917606242,0.3329263050777197
"ordinal_enc,mean_imp,over_samp,no_sel,norm_scale",2,accu_dp,44119,0.5179175424115726,-1.0,0.4214833704940828,0.8712805100946037,0.4423419393319701,0.4433563671970886,0.4334249318336742,0.4384361310039865,0.4423419393319701
"count_enc,most_freq_imp,no_scale,k_best_sel,no_samp",2,accu_dp,44119,0.0533373769678254,1.2607453332434786,0.0086782831444443,0.0116224888238781,0.1009240804493565,0.0102156640181612,0.2935457736970019,0.1755436495430194,0.148613377646047
"ordinal_enc,mean_imp,over_samp,no_sel,min_max_scale",2,accu_dp,44119,0.1960371913628796,1.559014036072358,0.2028398892364996,0.3391493942343619,0.3322671693933197,0.325990064079752,0.3503067484662576,0.338375322078778,0.3322671693933197
"target_enc,most_freq_imp,max_abs_scale,k_best_sel,under_samp",2,accu_dp,44119,0.1107468807277887,1.3163416754562187,0.0369321969170033,0.0922187258449663,0.1328272684310018,0.0671843427221227,0.208648393194707,0.1437226069034864,0.1328272684310018
"count_enc,most_freq_imp,no_samp,min_max_scale,k_best_sel",2,accu_dp,44119,0.0742639109974766,1.358457158265949,0.0423533519798387,0.0481877448655024,0.0875158543214349,0.0152320226709175,0.2492573588981908,0.1480232914495864,0.1275598314600019
