pipe,dp,eo,eqOdds,accu,precision,recall,f1,roc_auc,dpr,gen,dp_acc_ratio,seed
"woe_enc,mean_imp,no_sel,max_abs_scale,no_samp",0.10443272475148435,0.0,0.021366367683748506,0.029325988334413466,0.060535117056856214,0.0,0.031212277978961867,0.026910496580434207,1.2512837759180453,0,"(0, 10)",84940
"ordinal_enc,most_freq_imp,under_samp,k_best_sel,no_scale",0.09969983723678794,0.0,0.021570736083265332,0.026165895336418665,0.049729364005412724,0.0,0.025498699045967133,0.026165895336418665,1.216844257813964,0,"(0, 10)",84940
"count_enc,mean_imp,under_samp,norm_scale,no_sel",0.5386896737665139,0.2828384499245093,0.6155910631649274,0.2992168031327874,0.2889221556886228,0.3236027055891777,0.30669585841999636,0.29921680313278765,-1.0,0,"(0, 10)",84940
"target_enc,median_imp,min_max_scale,over_samp,k_best_sel",0.10346118183518072,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2257244438307933,0,"(0, 10)",84940
"ordinal_enc,median_imp,max_abs_scale,no_samp,k_best_sel",0.10443272475148435,0.0,0.021366367683748506,0.029325988334413466,0.060535117056856214,0.0,0.031212277978961867,0.026910496580434207,1.2512837759180453,0,"(0, 10)",84940
"woe_enc,mean_imp,under_samp,min_max_scale,no_sel",0.10734998646381261,0.0,0.02810599156190785,0.02652189391242432,0.05037187288708589,0.0,0.025836656840645067,0.02652189391242432,1.235795493523421,0,"(0, 10)",84940
"count_enc,median_imp,no_samp,no_sel,max_abs_scale",0.10443272475148435,0.0,0.021366367683748506,0.029325988334413466,0.060535117056856214,0.0,0.031212277978961867,0.026910496580434207,1.2512837759180453,0,"(0, 10)",84940
"woe_enc,mean_imp,max_abs_scale,no_sel,no_samp",0.10443272475148435,0.0,0.021366367683748506,0.029325988334413466,0.060535117056856214,0.0,0.031212277978961867,0.026910496580434207,1.2512837759180453,0,"(0, 10)",84940
"loo_enc,mean_imp,k_best_sel,quant_scale,over_samp",0.10379829614912617,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2265779939039636,0,"(0, 10)",84940
"target_enc,median_imp,max_abs_scale,no_sel,over_samp",0.09641972586341996,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2081066656241581,0,"(0, 10)",84940
