pipe,dp,eo,eqOdds,accu,precision,recall,f1,roc_auc,dpr,gen,dp_acc_reps,seed
"target_enc,most_freq_imp,norm_scale,no_samp,k_best_sel",0.4649791103465225,0.3120281831907398,0.5641895664760423,0.2814322747893714,0.2878068091844814,0.35955856176575296,0.325585754451734,0.28786729753467544,-1.0,0,"(0, 20)",28786
"target_enc,most_freq_imp,no_sel,over_samp,max_abs_scale",0.10582449160035368,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2317279767666989,0,"(0, 20)",28786
"target_enc,mean_imp,k_best_sel,quant_scale,under_samp",0.10505359851447771,0.0,0.019195659523771197,0.02687789248843009,0.051013513513513464,0.0,0.026174380308545686,0.026877892488429977,1.2297365891389271,0,"(0, 20)",28786
"count_enc,mean_imp,max_abs_scale,no_samp,k_best_sel",0.10443272475148435,0.0,0.021366367683748506,0.029325988334413466,0.060535117056856214,0.0,0.031212277978961867,0.026910496580434207,1.2512837759180453,0,"(0, 20)",28786
"count_enc,most_freq_imp,k_best_sel,over_samp,no_scale",0.10514842256479134,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2300058248180556,0,"(0, 20)",28786
"target_enc,mean_imp,no_sel,min_max_scale,no_samp",0.10443272475148435,0.0,0.021366367683748506,0.029325988334413466,0.060535117056856214,0.0,0.031212277978961867,0.026910496580434207,1.2512837759180453,0,"(0, 20)",28786
"count_enc,median_imp,norm_scale,no_sel,under_samp",0.5357714895888949,0.2828384499245093,0.6137082623179146,0.3009967960128159,0.2912621359223301,0.324314702741189,0.30818297794787686,0.3009967960128159,-1.0,0,"(0, 20)",28786
"ordinal_enc,mean_imp,no_sel,under_samp,min_max_scale",0.11096038549207515,0.0,0.0232521090166476,0.027411890352438628,0.05197435032062103,0.0,0.026680526680526784,0.027411890352438517,1.2443434816782764,0,"(0, 20)",28786
"ordinal_enc,mean_imp,over_samp,no_sel,min_max_scale",0.10413557707022958,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2274329029077171,0,"(0, 20)",28786
"woe_enc,median_imp,k_best_sel,over_samp,no_scale",0.1031242338202612,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2248722485802046,0,"(0, 20)",28786
"ordinal_enc,mean_imp,no_sel,under_samp,min_max_scale",0.10346140068063764,0.0,0.016180724378686152,0.02687789248843009,0.051013513513513464,0.0,0.026174380308545686,0.026877892488429977,1.2257339651213912,1,"(0, 20)",28786
"target_enc,mean_imp,k_best_sel,quant_scale,under_samp",0.10784379698521135,0.0,0.02401384083044982,0.027411890352438628,0.05197435032062103,0.0,0.026680526680526784,0.027411890352438517,1.236508303908608,1,"(0, 20)",28786
"target_enc,mean_imp,under_samp,k_best_sel,quant_scale",0.10127255607886887,0.0,0.01878418831028987,0.028835884656461364,0.05452709525412314,0.0,0.02802768166089964,0.028835884656461364,1.2194044929056551,1,"(0, 20)",28786
"ordinal_enc,mean_imp,no_sel,min_max_scale,over_samp",0.09942869372805824,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2155863596898298,1,"(0, 20)",28786
"target_enc,median_imp,k_best_sel,over_samp,no_scale",0.11125751335707929,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2457073500491642,1,"(0, 20)",28786
"woe_enc,mean_imp,k_best_sel,quant_scale,under_samp",0.1041430400909415,0.0,0.018409558454052337,0.0275898896404414,0.0522941970310391,0.0,0.02684912523817773,0.02758988964044151,1.2271013359865754,1,"(0, 20)",28786
"target_enc,mean_imp,no_sel,min_max_scale,no_samp",0.10443272475148435,0.0,0.021366367683748506,0.029325988334413466,0.060535117056856214,0.0,0.031212277978961867,0.026910496580434207,1.2512837759180453,1,"(0, 20)",28786
"count_enc,mean_imp,max_abs_scale,no_samp,k_best_sel",0.10443272475148435,0.0,0.021366367683748506,0.029325988334413466,0.060535117056856214,0.0,0.031212277978961867,0.026910496580434207,1.2512837759180453,1,"(0, 20)",28786
"woe_enc,median_imp,k_best_sel,over_samp,no_scale",0.1031242338202612,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2248722485802046,1,"(0, 20)",28786
"count_enc,most_freq_imp,k_best_sel,over_samp,no_scale",0.09909371743484596,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2147501074893812,1,"(0, 20)",28786
"woe_enc,median_imp,k_best_sel,over_samp,no_scale",0.10413557707022958,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2274329029077171,2,"(0, 20)",28786
"target_enc,median_imp,k_best_sel,over_samp,no_scale",0.10481063996876538,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2291468142174262,2,"(0, 20)",28786
"ordinal_enc,mean_imp,no_sel,min_max_scale,no_samp",0.10443272475148435,0.0,0.021366367683748506,0.029325988334413466,0.060535117056856214,0.0,0.031212277978961867,0.026910496580434207,1.2512837759180453,2,"(0, 20)",28786
"target_enc,mean_imp,no_sel,min_max_scale,over_samp",0.10989514447423293,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2421783301342058,2,"(0, 20)",28786
"target_enc,mean_imp,k_best_sel,quant_scale,under_samp",0.10928782687534172,0.0,0.023689030267977633,0.02812388750444994,0.05325244354566905,0.0,0.027354570637119102,0.02812388750445005,1.2397525336988466,2,"(0, 20)",28786
"ordinal_enc,mean_imp,no_sel,min_max_scale,over_samp",0.10177809860440423,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2214769341879572,2,"(0, 20)",28786
"ordinal_enc,mean_imp,no_sel,under_samp,min_max_scale",0.101235329197644,0.0,0.015443050224186322,0.027233891064435745,0.05165428764348412,0.0,0.026511869693294,0.027233891064435745,1.2200413879456837,2,"(0, 20)",28786
"woe_enc,mean_imp,k_best_sel,quant_scale,under_samp",0.10927858413496949,0.0,0.025721989716352374,0.02652189391242432,0.05037187288708589,0.0,0.025836656840645067,0.02652189391242432,1.2406157223760697,2,"(0, 20)",28786
"ordinal_enc,mean_imp,no_sel,no_scale,over_samp",0.10447302490708815,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2282891749657296,2,"(0, 20)",28786
"target_enc,mean_imp,no_sel,min_max_scale,no_samp",0.10443272475148435,0.0,0.021366367683748506,0.029325988334413466,0.060535117056856214,0.0,0.031212277978961867,0.026910496580434207,1.2512837759180453,2,"(0, 20)",28786
"target_enc,median_imp,k_best_sel,over_samp,no_scale",0.10582449160035368,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2317279767666989,3,"(0, 20)",28786
"woe_enc,median_imp,k_best_sel,over_samp,no_scale",0.10346118183518072,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2257244438307933,3,"(0, 20)",28786
"ordinal_enc,mean_imp,no_sel,under_samp,min_max_scale",0.10649895178197066,0.0,0.01287958708364463,0.02420790316838728,0.04617996604414265,0.0,0.023635731664928716,0.02420790316838739,1.2346420323325635,3,"(0, 20)",28786
"target_enc,mean_imp,no_sel,min_max_scale,over_samp",0.10077022830255111,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.218944475042852,3,"(0, 20)",28786
"woe_enc,mean_imp,k_best_sel,over_samp,no_scale",0.10582449160035368,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2317279767666989,3,"(0, 20)",28786
