pipe,dp,eo,eqOdds,accu,precision,recall,f1,roc_auc,dpr,gen,dp_acc_reps,seed
"onehot_enc,most_freq_imp,under_samp,no_sel,quant_scale",0.09847803034268066,0.0,0.01606632361349343,0.026699893200427205,0.0506928016221696,0.0,0.026005547850207922,0.026699893200427205,1.213520337678485,0,"(0, 20)",49798
"onehot_enc,median_imp,norm_scale,over_samp,no_sel",0.6960322797579018,0.1685582177385456,0.7098646538576618,0.3422539399345822,0.378631892015557,0.1923877490336009,0.2976467545901216,0.3422539399345822,-1.0,0,"(0, 20)",49798
"count_enc,median_imp,no_samp,no_scale,k_best_sel",0.10466247529684969,0.0007132737489545795,0.022079641432703086,0.029650032404407,0.06057563587684067,0.0007119971520114232,0.03156805244091776,0.027266495156439863,1.2521250693577033,0,"(0, 20)",49798
"loo_enc,median_imp,under_samp,k_best_sel,no_scale",0.10463954103970724,0.0,0.017539765564228427,0.02634389462442155,0.05005072708826508,0.0,0.025667707249392935,0.026343894624421438,1.228951798560928,0,"(0, 20)",49798
"onehot_enc,median_imp,no_scale,no_sel,over_samp",0.10819605627991374,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.237799324474859,0,"(0, 20)",49798
"ordinal_enc,median_imp,k_best_sel,norm_scale,under_samp",0.698255033557047,0.1665827881227982,0.7103112115980572,0.34638661445354224,0.3827126936667573,0.1915272338910644,0.2999383477188656,0.34638661445354224,-1.0,0,"(0, 20)",49798
"loo_enc,mean_imp,under_samp,no_sel,norm_scale",0.6975127039315325,0.17111222949169602,0.7196282112268558,0.3494126023495906,0.3854279523293608,0.19223923104307583,0.30195354560836796,0.3494126023495906,-1.0,0,"(0, 20)",49798
"woe_enc,median_imp,no_sel,max_abs_scale,over_samp",0.10177809860440423,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2214769341879572,0,"(0, 20)",49798
"loo_enc,mean_imp,no_samp,norm_scale,no_sel",0.4861145244531826,0.3049823855057876,0.5917259013559317,0.29390797148412184,0.3137401722201423,0.3474546101815593,0.33102189781021896,0.29831844395488916,-1.0,0,"(0, 20)",49798
"count_enc,most_freq_imp,max_abs_scale,over_samp,k_best_sel",0.10785675186824689,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.236927782098116,0,"(0, 20)",49798
"loo_enc,mean_imp,no_samp,norm_scale,k_best_sel",0.4649791103465225,0.3120281831907398,0.5641895664760423,0.2814322747893714,0.2878068091844814,0.35955856176575296,0.325585754451734,0.28786729753467544,-1.0,1,"(0, 20)",49798
"onehot_enc,most_freq_imp,under_samp,no_sel,quant_scale",0.10794526213218214,0.0,0.023061519551586633,0.026165895336418665,0.049729364005412724,0.0,0.025498699045967133,0.026165895336418665,1.2374045278411143,1,"(0, 20)",49798
"woe_enc,median_imp,no_sel,max_abs_scale,under_samp",0.10240961462734299,0.0,0.016598324313575857,0.026165895336418665,0.049729364005412724,0.0,0.025498699045967133,0.026165895336418665,1.2234821117357935,1,"(0, 20)",49798
"onehot_enc,most_freq_imp,over_samp,no_sel,quant_scale",0.10379829614912617,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2265779939039636,1,"(0, 20)",49798
"onehot_enc,median_imp,no_scale,no_sel,over_samp",0.1011060208131751,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2197873002586308,1,"(0, 20)",49798
"loo_enc,mean_imp,under_samp,no_sel,norm_scale",0.6981945567232551,0.1716155007549069,0.7197593522630275,0.346564613741545,0.3824972737186477,0.19366322534709857,0.3006021306160259,0.346564613741545,-1.0,1,"(0, 20)",49798
"ordinal_enc,median_imp,no_sel,norm_scale,over_samp",0.6974450918870462,0.17016806722689076,0.7162775773133461,0.3453761522450193,0.3815489749430524,0.1926851025869759,0.2996259512446795,0.3453761522450193,-1.0,1,"(0, 20)",49798
"loo_enc,mean_imp,no_samp,min_max_scale,no_sel",0.10443272475148435,0.0,0.021366367683748506,0.029325988334413466,0.060535117056856214,0.0,0.031212277978961867,0.026910496580434207,1.2512837759180453,1,"(0, 20)",49798
"loo_enc,median_imp,under_samp,k_best_sel,no_scale",0.1017671432227994,0.0,0.017527172012477443,0.02652189391242432,0.05037187288708589,0.0,0.025836656840645067,0.02652189391242432,1.2217279510356034,1,"(0, 20)",49798
"onehot_enc,median_imp,norm_scale,over_samp,no_sel",0.6934797221599821,0.16967660646787064,0.7066602760163817,0.3412132024977699,0.37741046831955927,0.19357716324710084,0.2973183054799846,0.3412132024977699,-1.0,1,"(0, 20)",49798
"loo_enc,mean_imp,no_samp,norm_scale,no_sel",0.4861145244531826,0.3049823855057876,0.5917259013559317,0.29390797148412184,0.3137401722201423,0.3474546101815593,0.33102189781021896,0.29831844395488916,-1.0,2,"(0, 20)",49798
"onehot_enc,most_freq_imp,over_samp,k_best_sel,quant_scale",0.10548637300516472,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2308662109387696,2,"(0, 20)",49798
"onehot_enc,most_freq_imp,under_samp,no_sel,quant_scale",0.10615876776982264,0.0,0.024433421291643602,0.02812388750444994,0.05325244354566905,0.0,0.027354570637119102,0.02812388750445005,1.2319311646888043,2,"(0, 20)",49798
"onehot_enc,most_freq_imp,over_samp,no_sel,quant_scale",0.10582449160035368,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2317279767666989,2,"(0, 20)",49798
"woe_enc,median_imp,no_sel,max_abs_scale,under_samp",0.10150364151317937,0.0,0.01601776286786448,0.027411890352438628,0.05197435032062103,0.0,0.026680526680526784,0.027411890352438517,1.2206245817257726,2,"(0, 20)",49798
"loo_enc,median_imp,under_samp,k_best_sel,no_scale",0.10782057779097443,0.0,0.022429938607156565,0.02687789248843009,0.051013513513513464,0.0,0.026174380308545686,0.026877892488429977,1.2367066788729022,2,"(0, 20)",49798
"loo_enc,mean_imp,no_samp,norm_scale,k_best_sel",0.4649791103465225,0.3120281831907398,0.5641895664760423,0.2814322747893714,0.2878068091844814,0.35955856176575296,0.325585754451734,0.28786729753467544,-1.0,2,"(0, 20)",49798
"onehot_enc,median_imp,norm_scale,over_samp,no_sel",0.696528555431131,0.16617708770457407,0.7055622942367547,0.34017246506095744,0.3771989947452593,0.18941421349985132,0.29560723514211884,0.34017246506095744,-1.0,2,"(0, 20)",49798
"ordinal_enc,median_imp,no_sel,norm_scale,over_samp",0.6970982142857143,0.16722268557130943,0.7080488142936918,0.33942908117752,0.3766560073092736,0.1885221528397264,0.2949231365456658,0.33942908117752013,-1.0,2,"(0, 20)",49798
"onehot_enc,median_imp,no_scale,no_sel,over_samp",0.10144197747882311,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2206314519735397,2,"(0, 20)",49798
"woe_enc,median_imp,norm_scale,over_samp,no_sel",0.6961770623742455,0.17189460476787954,0.7165631926641332,0.34493012191495687,0.38085446652958643,0.19417187035385075,0.2997416020671835,0.344930121914957,-1.0,3,"(0, 20)",49798
"onehot_enc,median_imp,no_sel,max_abs_scale,under_samp",0.09679505585583731,0.0,0.020189141173411904,0.02634389462442155,0.05005072708826508,0.0,0.025667707249392935,0.026343894624421438,1.209610589706333,3,"(0, 20)",49798
"woe_enc,most_freq_imp,over_samp,no_sel,quant_scale",0.11023547755024365,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2430584205985273,3,"(0, 20)",49798
"woe_enc,mean_imp,no_sel,max_abs_scale,under_samp",0.10438113787211512,0.0,0.01718623427483168,0.026699893200427205,0.0506928016221696,0.0,0.026005547850207922,0.026699893200427205,1.2281232932527677,3,"(0, 20)",49798
"loo_enc,median_imp,no_samp,norm_scale,k_best_sel",0.4649791103465225,0.3120281831907398,0.5641895664760423,0.2814322747893714,0.2878068091844814,0.35955856176575296,0.325585754451734,0.28786729753467544,-1.0,3,"(0, 20)",49798
"onehot_enc,median_imp,no_scale,no_sel,over_samp",0.10043459964249851,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2181029723409071,3,"(0, 20)",49798
"onehot_enc,most_freq_imp,over_samp,no_sel,quant_scale",0.10887517738477026,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2395466549295775,3,"(0, 20)",49798
"onehot_enc,most_freq_imp,under_samp,no_sel,quant_scale",0.1138537088229688,0.0,0.0217459666028856,0.024919900320398702,0.04747371990505256,0.0,0.02431399791594302,0.024919900320398702,1.2530669444371325,3,"(0, 20)",49798
"loo_enc,median_imp,under_samp,k_best_sel,no_scale",0.1095532981925521,0.0,0.017154099130843314,0.025453898184407242,0.04844173441734423,0.0,0.024822079500086858,0.025453898184407242,1.2417509848105854,3,"(0, 20)",49798
"ordinal_enc,median_imp,no_sel,norm_scale,over_samp",0.6953002023836294,0.16955602536997885,0.7113427688858289,0.3461195361284567,0.38128011011699936,0.19803746654772525,0.30147630147630156,0.3461195361284567,-1.0,3,"(0, 20)",49798
"onehot_enc,median_imp,no_sel,no_scale,over_samp",0.09976383265856953,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2164239186123107,4,"(0, 20)",49798
"woe_enc,mean_imp,max_abs_scale,no_sel,under_samp",0.10548676331379825,0.0,0.02242508050400828,0.027945888216447168,0.052933243425488885,0.0,0.02718614718614709,0.027945888216447057,1.2303188500034834,4,"(0, 20)",49798
"loo_enc,median_imp,under_samp,no_sel,no_scale",0.09985211486011913,0.0,0.02457795109621265,0.02812388750444994,0.05325244354566905,0.0,0.027354570637119102,0.02812388750445005,1.216327009535102,4,"(0, 20)",49798
"woe_enc,mean_imp,k_best_sel,max_abs_scale,under_samp",0.10745476982545371,0.0,0.025081307624227736,0.02687789248843009,0.051013513513513464,0.0,0.026174380308545686,0.026877892488429977,1.2358277335450862,4,"(0, 20)",49798
"loo_enc,most_freq_imp,no_samp,norm_scale,k_best_sel",0.4649791103465225,0.3120281831907398,0.5641895664760423,0.2814322747893714,0.2878068091844814,0.35955856176575296,0.325585754451734,0.28786729753467544,-1.0,4,"(0, 20)",49798
"onehot_enc,median_imp,under_samp,no_sel,quant_scale",0.10142203846394787,0.0,0.02371853878200142,0.024919900320398702,0.04747371990505256,0.0,0.02431399791594302,0.024919900320398702,1.2217352598781073,4,"(0, 20)",49798
