pipe,dp,eo,eqOdds,accu,precision,recall,f1,roc_auc,dpr,gen,reps,seed
"onehot_enc,mean_imp,k_best_sel,no_samp,norm_scale",1.0,0.0,1.0,0.30000000000000004,0.30000000000000004,0.0,0.17647058823529416,0.5,-1.0,0,accu_dp,86674
"ordinal_enc,mean_imp,under_samp,no_sel,no_scale",0.111061235177496,0.08110367892976589,0.17760206982270021,0.32499999999999996,0.32899022801302935,0.31333333333333335,0.32125205930807255,0.32500000000000007,0.7976555578273018,0,accu_dp,86674
"woe_enc,most_freq_imp,over_samp,k_best_sel,norm_scale",0.5861297539149888,0.3681592039800995,0.9169396917849776,0.44785714285714284,0.4579008073817762,0.3285714285714286,0.40012763241863425,0.44785714285714295,-1.0,0,accu_dp,86674
"count_enc,most_freq_imp,no_scale,over_samp,no_sel",0.15533943985826826,0.11931325337241644,0.26304000954750717,0.3285714285714286,0.32708933717579247,0.33285714285714285,0.3299856527977044,0.3285714285714285,0.7149625633310854,0,accu_dp,86674
"woe_enc,mean_imp,quant_scale,no_sel,no_samp",0.10836839644693785,0.07690006879430501,0.177048971239187,0.252,0.21208226221079696,0.12428571428571433,0.17050067658998658,0.3371428571428572,0.8664746543778802,0,accu_dp,86674
"count_enc,median_imp,quant_scale,under_samp,no_sel",0.14684394541284979,0.13492063492063494,0.25370635949914494,0.3533333333333334,0.34397163120567376,0.3833333333333333,0.36426116838487965,0.3533333333333333,0.7169018167761886,0,accu_dp,86674
"count_enc,median_imp,no_scale,k_best_sel,under_samp",0.16014930678990402,0.20984952120383038,0.27613512569972354,0.3483333333333334,0.36253776435045315,0.29666666666666663,0.3312202852614897,0.3483333333333333,0.7346097201767304,0,accu_dp,86674
"count_enc,mean_imp,k_best_sel,under_samp,no_scale",0.24163395992563513,0.2257861274987113,0.4218089912289577,0.3516666666666667,0.35504885993485347,0.33999999999999997,0.3476112026359144,0.35166666666666657,0.5886231756637947,0,accu_dp,86674
"onehot_enc,median_imp,max_abs_scale,no_samp,no_sel",0.10869565217391308,0.06694982003808612,0.18415045407430308,0.245,0.20645161290322578,0.12142857142857144,0.16610169491525417,0.32738095238095233,0.8655913978494623,0,accu_dp,86674
"count_enc,median_imp,no_sel,quant_scale,over_samp",0.16614184186380032,0.14909420831713183,0.2845736554281788,0.31714285714285717,0.30368098159509205,0.3514285714285714,0.32840236686390534,0.31714285714285717,0.6794400349523047,0,accu_dp,86674
