pipe,dp,eo,eqOdds,accu,precision,recall,f1,roc_auc,dpr,gen,reps,seed
"ordinal_enc,most_freq_imp,no_samp,norm_scale,k_best_sel",0.053105561229226626,0.7854113655640373,0.8186682462979823,0.22342679893123674,0.38420621931260224,0.8080601964035199,0.7073407875546913,0.42302281664836183,-1.0,0,accu_dp,47053
"onehot_enc,median_imp,no_scale,k_best_sel,under_samp",0.4688751153546554,0.32492286585342567,0.6314628754591006,0.20584109169748754,0.2284873454973514,0.164137227394465,0.1976003917727719,0.20584109169748754,0.2984647620458319,0,accu_dp,47053
"onehot_enc,median_imp,over_samp,max_abs_scale,no_sel",0.3894328607124825,0.16959466168755244,0.4061076380838002,0.186205501618123,0.2021807571220149,0.15938511326860838,0.1813418429657644,0.1862055016181231,0.38305555514727124,0,accu_dp,47053
"target_enc,median_imp,no_sel,no_samp,max_abs_scale",0.1908743537337374,0.2119136067002627,0.2968788121486599,0.16206504714228676,0.28070475538829964,0.4637163627088382,0.38554833053262216,0.26504992892723467,0.21347349321896036,0,accu_dp,47053
"onehot_enc,most_freq_imp,no_scale,under_samp,no_sel",0.37492857201148716,0.14707139781562106,0.38392157526779236,0.19015431705139652,0.20397221883757766,0.16681545721209035,0.18581754735792622,0.19015431705139652,0.3983157151431887,0,accu_dp,47053
"ordinal_enc,median_imp,quant_scale,no_sel,over_samp",0.427498061388518,0.3868376587933693,0.6322479667840313,0.24453883495145634,0.24426986312464571,0.2450647249190938,0.2446675031367629,0.24453883495145634,0.3046511754230643,0,accu_dp,47053
"ordinal_enc,median_imp,quant_scale,k_best_sel,over_samp",0.43750448369904893,0.4029143738689236,0.6554841603426684,0.24611650485436898,0.2470578752216669,0.2442556634304207,0.24565937171929253,0.24611650485436898,0.2934272318566581,0,accu_dp,47053
"loo_enc,most_freq_imp,no_sel,norm_scale,under_samp",0.12119081106422878,0.712468193384224,0.7701293530862,0.3951026654763423,0.2106929300035174,0.7138120137737534,0.579932609509547,0.3951026654763423,-1.0,0,accu_dp,47053
"onehot_enc,median_imp,under_samp,k_best_sel,no_scale",0.4753925519501174,0.35030119047709984,0.6643522772741617,0.21738298686392044,0.23996714386294293,0.17395740339242438,0.20833587972865597,0.21738298686392044,0.29297422127980965,0,accu_dp,47053
"ordinal_enc,mean_imp,no_scale,no_sel,under_samp",0.4264643617556191,0.3773607173876675,0.6309852475054538,0.2474811886239,0.24124411918452693,0.2595332228032139,0.25050022590847476,0.2474811886238999,0.2910130116514733,0,accu_dp,47053
"onehot_enc,median_imp,under_samp,max_abs_scale,no_sel",0.4017518372716392,0.1844419592442445,0.43814216069263395,0.18951664328529527,0.2097985457146263,0.15457212090294603,0.1831176833025262,0.18951664328529527,0.37579233758148134,1,accu_dp,47053
"onehot_enc,most_freq_imp,no_scale,over_samp,no_sel",0.3803936628501994,0.1624749195091223,0.3890290636509221,0.1853559870550162,0.19927312094030314,0.16221682847896435,0.18116400442827785,0.1853559870550162,0.3917301918252353,1,accu_dp,47053
"onehot_enc,median_imp,under_samp,k_best_sel,quant_scale",0.4290773236143444,0.3118581225687498,0.5762733589821857,0.21961484504527484,0.2329000121491921,0.19474556816732558,0.2142857142857144,0.21961484504527484,0.32925642279695855,1,accu_dp,47053
"ordinal_enc,median_imp,no_scale,no_sel,over_samp",0.4412831188937635,0.39407411104202944,0.6592162906037919,0.24775485436893208,0.24194015643752842,0.2590210355987055,0.25057791052104006,0.24775485436893196,0.2730932935208673,1,accu_dp,47053
"ordinal_enc,most_freq_imp,no_samp,norm_scale,k_best_sel",0.053105561229226626,0.7854113655640373,0.8186682462979823,0.22342679893123674,0.38420621931260224,0.8080601964035199,0.7073407875546913,0.42302281664836183,-1.0,1,accu_dp,47053
"onehot_enc,median_imp,under_samp,k_best_sel,no_scale",0.4723422728942531,0.35777741620151915,0.665117482412283,0.22025251881137609,0.24215352063006934,0.17778344598903206,0.2112796672375825,0.2202525188113762,0.2958949541244785,1,accu_dp,47053
"onehot_enc,median_imp,over_samp,max_abs_scale,no_sel",0.3783750754051023,0.15399291257974537,0.3875969890421949,0.18509304207119737,0.2022794202011703,0.15622977346278322,0.17990052489826414,0.18509304207119748,0.40061385388426024,1,accu_dp,47053
"ordinal_enc,median_imp,quant_scale,no_sel,over_samp",0.43161454757018936,0.3891030884442398,0.6376561087868574,0.24366909385113267,0.24376238424521812,0.24348705501618118,0.24362474468644457,0.24366909385113267,0.2995200272544496,1,accu_dp,47053
"target_enc,median_imp,no_sel,no_samp,max_abs_scale",0.1908743537337374,0.2119136067002627,0.2968788121486599,0.16206504714228676,0.28070475538829964,0.4637163627088382,0.38554833053262216,0.26504992892723467,0.21347349321896036,1,accu_dp,47053
"onehot_enc,most_freq_imp,no_scale,under_samp,no_sel",0.37735758963026467,0.15751178496703416,0.3895330538312124,0.18938910853207502,0.20446547749059585,0.16388215788802452,0.1846785225718195,0.18938910853207502,0.39769637813565545,1,accu_dp,47053
