pipe,dp,eo,eqOdds,accu,precision,recall,f1,roc_auc,dpr,gen,dp_acc_reps,seed
"onehot_enc,mean_imp,max_abs_scale,over_samp,no_sel",0.3898241322297512,0.16761388065197025,0.40426926154623744,0.18434466019417473,0.20140058166232966,0.155784789644013,0.17922598914496968,0.18434466019417473,0.3842732426406881,0,"(0, 20)",92350
"ordinal_enc,most_freq_imp,no_sel,over_samp,min_max_scale",0.45128109413957274,0.41274288062653197,0.6846324311906589,0.247876213592233,0.2448102198747083,0.253883495145631,0.24937427507478183,0.247876213592233,0.266232191845053,0,"(0, 20)",92350
"ordinal_enc,mean_imp,k_best_sel,under_samp,norm_scale",0.43367468444867824,0.4028837998303647,0.7727513494992388,0.35952046932789183,0.3715751428238312,0.3125876801428389,0.34340358143501026,0.35952046932789183,-1.0,0,"(0, 20)",92350
"onehot_enc,median_imp,max_abs_scale,k_best_sel,under_samp",0.465387487111171,0.3325564536396852,0.632945260697581,0.2069889044764699,0.22954679223072394,0.16528504017344725,0.19870225269343766,0.20698890447646978,0.30167542947070175,0,"(0, 20)",92350
"target_enc,mean_imp,under_samp,quant_scale,no_sel",0.39527965859627556,0.21431057720047797,0.46043093513949107,0.2062236959571483,0.2194616977225673,0.18262976661140162,0.20147022177921747,0.2062236959571484,0.3724347043111471,0,"(0, 20)",92350
"ordinal_enc,most_freq_imp,under_samp,min_max_scale,k_best_sel",0.46174778354310975,0.4234462851731582,0.7085432896284845,0.2504782553245759,0.24855417041511374,0.2543042979211835,0.2514402765330943,0.2504782553245759,0.2574174486975771,0,"(0, 20)",92350
"woe_enc,mean_imp,k_best_sel,under_samp,min_max_scale",0.42431430769550665,0.23813934385112837,0.5147711452865676,0.19838030863410283,0.22084513692162422,0.1581430939931131,0.19070679825905723,0.19838030863410272,0.35059694723205664,0,"(0, 20)",92350
"woe_enc,median_imp,k_best_sel,norm_scale,no_samp",0.06916720824435986,0.6844783715012722,0.7233649436447251,0.20493842326709866,0.34301075268817205,0.6883050631297029,0.5771992042210882,0.3699615930535246,-1.0,0,"(0, 20)",92350
"woe_enc,median_imp,over_samp,no_sel,quant_scale",0.38786872573898895,0.20294152583829658,0.4381569838989315,0.2012338187702265,0.21119931177413676,0.18398058252427185,0.19782077028612322,0.2012338187702266,0.37618370057261413,0,"(0, 20)",92350
"ordinal_enc,most_freq_imp,min_max_scale,no_samp,no_sel",0.1624061200828683,0.27839207547064115,0.34780619149981934,0.1848837566413808,0.29064152678776733,0.606555286315521,0.4938474159146842,0.3288439861998317,0.1328523997535652,0,"(0, 20)",92350
"woe_enc,median_imp,k_best_sel,quant_scale,no_samp",0.19919662152664705,0.19863408202535665,0.29467089262329454,0.16627253462731484,0.3056845476381105,0.4470093100369851,0.3843532585545931,0.262117114565418,0.226982300433546,1,"(0, 20)",92350
"woe_enc,median_imp,over_samp,no_sel,norm_scale",0.28994127390453245,0.27127371273712736,0.39241633158616823,0.21116504854368934,0.2504717970224366,0.13240291262135917,0.19574755315558556,0.21116504854368934,-1.0,1,"(0, 20)",92350
"ordinal_enc,most_freq_imp,k_best_sel,over_samp,min_max_scale",0.4423278219583424,0.39845753145874907,0.6689611879960804,0.2513147249190939,0.24711012382245257,0.2596278317152103,0.25342144445124315,0.2513147249190939,0.2760814620635532,1,"(0, 20)",92350
"woe_enc,median_imp,k_best_sel,norm_scale,under_samp",0.2835856196783349,0.2697201017811705,0.38057612014784814,0.21642647621476852,0.25770949111910213,0.13123326106363986,0.19943589140909623,0.21642647621476852,-1.0,1,"(0, 20)",92350
"woe_enc,mean_imp,k_best_sel,no_samp,min_max_scale",0.1920332923604759,0.21785084164513124,0.30343136904567525,0.16224931666717857,0.28091812264474136,0.46460910598137994,0.3862124424300022,0.2654760740262887,0.20914658088550947,1,"(0, 20)",92350
"woe_enc,mean_imp,k_best_sel,under_samp,min_max_scale",0.42508777673335796,0.230400848023642,0.5091870439917561,0.1986991455171534,0.22097555214361642,0.15878076775921435,0.19107186656855524,0.1986991455171534,0.35037926105290274,1,"(0, 20)",92350
"ordinal_enc,most_freq_imp,under_samp,min_max_scale,k_best_sel",0.46510754849283986,0.4346081697391737,0.7302347904329549,0.2583216426476215,0.257051282051282,0.2609361050886366,0.2589987852439102,0.2583216426476215,0.2524661701349147,1,"(0, 20)",92350
"ordinal_enc,most_freq_imp,no_sel,over_samp,min_max_scale",0.44446021502606337,0.39692976919909795,0.6694803456754406,0.24923139158576046,0.24569248441089597,0.2561893203883495,0.25097767638911517,0.24923139158576046,0.2747974169901429,1,"(0, 20)",92350
"onehot_enc,median_imp,max_abs_scale,k_best_sel,under_samp",0.47400592729781765,0.32302395391786975,0.6411816715986847,0.20807294987884195,0.2312749471706973,0.1649024359137865,0.19946206980866787,0.20807294987884195,0.29386568185417533,1,"(0, 20)",92350
"onehot_enc,mean_imp,max_abs_scale,over_samp,no_sel",0.38596455464234136,0.1647259895088221,0.40341770510647557,0.18594255663430426,0.20324146630480489,0.15679611650485437,0.1806764804150861,0.18594255663430426,0.3905538474485264,1,"(0, 20)",92350
